------------------------
------------------------
31/8/2020 10:3:14 msg stop 8 30aea474cbcc 3c71bf875fa8 30aea458f354 3c71bf877510 2 stats (rx_timestamp=195990446, rssi=-47, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=4, tx_time_on_air=98, tx_counter=60, tx_frequency=868000000)
31/8/2020 10:3:23 msg stop 9 30aea474cbcc 3c71bf875fa8 30aea458f354 3c71bf877510 2 stats (rx_timestamp=205764455, rssi=-46, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=5, tx_time_on_air=98, tx_counter=64, tx_frequency=868000000)
31/8/2020 10:3:31 msg stop 9 30aea474cbcc 3c71bf875fa8 30aea458f354 3c71bf877510 2 stats (rx_timestamp=213299499, rssi=-45, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=6, tx_time_on_air=98, tx_counter=67, tx_frequency=868000000)
31/8/2020 10:3:34 msg stop 11 30aea474cbcc 3c71bf875fa8 30aea458f354 3c71bf877510 2 stats (rx_timestamp=216052506, rssi=-45, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=6, tx_time_on_air=98, tx_counter=68, tx_frequency=868000000)
31/8/2020 10:3:37 msg stop 12 30aea474cbcc 3c71bf875fa8 30aea458f354 3c71bf877510 2 stats (rx_timestamp=219311504, rssi=-43, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=6, tx_time_on_air=98, tx_counter=69, tx_frequency=868000000)
31/8/2020 10:3:40 msg stop 12 30aea474cbcc 3c71bf875fa8 30aea458f354 3c71bf877510 2 stats (rx_timestamp=222565506, rssi=-44, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=7, tx_time_on_air=98, tx_counter=70, tx_frequency=868000000)
31/8/2020 10:3:42 msg stop 13 30aea474cbcc 3c71bf875fa8 30aea458f354 3c71bf877510 2 stats (rx_timestamp=224825467, rssi=-43, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=7, tx_time_on_air=98, tx_counter=71, tx_frequency=868000000)
31/8/2020 10:3:45 msg stop 13 30aea474cbcc 3c71bf875fa8 30aea458f354 3c71bf877510 2 stats (rx_timestamp=227078462, rssi=-42, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=7, tx_time_on_air=98, tx_counter=72, tx_frequency=868000000)
31/8/2020 10:3:48 msg stop 14 30aea474cbcc 3c71bf875fa8 30aea458f354 3c71bf877510 2 stats (rx_timestamp=229835470, rssi=-53, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=7, tx_time_on_air=98, tx_counter=73, tx_frequency=868000000)
31/8/2020 10:3:55 msg stop 14 30aea474cbcc 3c71bf875fa8 30aea458f354 3c71bf877510 2 stats (rx_timestamp=237347478, rssi=-51, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=98, tx_counter=76, tx_frequency=868000000)
31/8/2020 10:3:59 msg stop 14 30aea474cbcc 3c71bf875fa8 30aea458f354 3c71bf877510 2 stats (rx_timestamp=241099481, rssi=-52, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=98, tx_counter=77, tx_frequency=868000000)
