------------------------
------------------------
31/8/2020 10:3:27 msg Discover normal 6 3c71bf877510 stats (rx_timestamp=205764455, rssi=-46, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=6, tx_time_on_air=98, tx_counter=65, tx_frequency=868000000)
31/8/2020 10:3:30 msg Discover normal 6 3c71bf877510 stats (rx_timestamp=205764455, rssi=-46, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=6, tx_time_on_air=98, tx_counter=66, tx_frequency=868000000)
31/8/2020 10:3:33 msg Discover normal 6 3c71bf877510 stats (rx_timestamp=213299499, rssi=-45, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=6, tx_time_on_air=98, tx_counter=67, tx_frequency=868000000)
31/8/2020 10:3:35 msg Discover normal 6 3c71bf877510 stats (rx_timestamp=216052506, rssi=-45, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=6, tx_time_on_air=98, tx_counter=68, tx_frequency=868000000)
31/8/2020 10:3:38 msg Discover normal 7 3c71bf877510 stats (rx_timestamp=219311504, rssi=-43, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=7, tx_time_on_air=98, tx_counter=69, tx_frequency=868000000)
31/8/2020 10:3:41 msg Discover normal 7 3c71bf877510 stats (rx_timestamp=222565506, rssi=-44, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=7, tx_time_on_air=98, tx_counter=70, tx_frequency=868000000)
31/8/2020 10:3:43 msg Discover normal 7 3c71bf877510 stats (rx_timestamp=224825467, rssi=-43, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=7, tx_time_on_air=98, tx_counter=71, tx_frequency=868000000)
31/8/2020 10:3:46 msg Discover normal 7 3c71bf877510 stats (rx_timestamp=227078462, rssi=-42, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=7, tx_time_on_air=98, tx_counter=72, tx_frequency=868000000)
31/8/2020 10:3:49 msg Discover normal 8 3c71bf877510 stats (rx_timestamp=229835470, rssi=-53, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=98, tx_counter=73, tx_frequency=868000000)
31/8/2020 10:3:51 msg Discover normal 8 3c71bf877510 stats (rx_timestamp=229835470, rssi=-53, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=98, tx_counter=74, tx_frequency=868000000)
31/8/2020 10:3:54 msg Discover normal 8 3c71bf877510 stats (rx_timestamp=229835470, rssi=-53, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=98, tx_counter=75, tx_frequency=868000000)
31/8/2020 10:3:57 msg Discover normal 8 3c71bf877510 stats (rx_timestamp=237347478, rssi=-51, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=98, tx_counter=76, tx_frequency=868000000)
31/8/2020 10:3:59 msg Discover normal 9 3c71bf877510 stats (rx_timestamp=241099481, rssi=-52, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=9, tx_time_on_air=98, tx_counter=77, tx_frequency=868000000)
31/8/2020 10:4:2 msg Discover normal 9 3c71bf877510 stats (rx_timestamp=241099481, rssi=-52, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=9, tx_time_on_air=98, tx_counter=78, tx_frequency=868000000)
31/8/2020 10:4:5 msg Discover normal 9 3c71bf877510 stats (rx_timestamp=245359484, rssi=-50, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=9, tx_time_on_air=98, tx_counter=79, tx_frequency=868000000)
31/8/2020 10:4:7 msg Discover normal 9 3c71bf877510 stats (rx_timestamp=247670494, rssi=-50, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=9, tx_time_on_air=98, tx_counter=80, tx_frequency=868000000)
31/8/2020 10:4:10 msg Discover normal 10 3c71bf877510 stats (rx_timestamp=251282443, rssi=-49, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=10, tx_time_on_air=98, tx_counter=81, tx_frequency=868000000)
31/8/2020 10:4:13 msg Discover normal 10 3c71bf877510 stats (rx_timestamp=251282443, rssi=-49, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=10, tx_time_on_air=98, tx_counter=82, tx_frequency=868000000)
31/8/2020 10:4:15 msg Discover normal 10 3c71bf877510 stats (rx_timestamp=251282443, rssi=-49, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=10, tx_time_on_air=98, tx_counter=83, tx_frequency=868000000)
31/8/2020 10:4:18 msg Discover normal 10 3c71bf877510 stats (rx_timestamp=259293491, rssi=-48, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=10, tx_time_on_air=98, tx_counter=84, tx_frequency=868000000)
31/8/2020 10:4:21 msg Discover normal 11 3c71bf877510 stats (rx_timestamp=259293491, rssi=-48, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=11, tx_time_on_air=98, tx_counter=85, tx_frequency=868000000)
31/8/2020 10:4:23 msg Discover normal 11 3c71bf877510 stats (rx_timestamp=263544493, rssi=-48, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=11, tx_time_on_air=98, tx_counter=86, tx_frequency=868000000)
31/8/2020 10:4:26 msg Discover normal 11 3c71bf877510 stats (rx_timestamp=266804500, rssi=-48, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=11, tx_time_on_air=98, tx_counter=87, tx_frequency=868000000)
31/8/2020 10:4:29 msg Discover normal 11 3c71bf877510 stats (rx_timestamp=269554500, rssi=-49, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=11, tx_time_on_air=98, tx_counter=88, tx_frequency=868000000)
31/8/2020 10:4:31 msg Discover normal 12 3c71bf877510 stats (rx_timestamp=273314498, rssi=-48, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=12, tx_time_on_air=98, tx_counter=89, tx_frequency=868000000)
31/8/2020 10:4:34 msg Discover normal 12 3c71bf877510 stats (rx_timestamp=276564501, rssi=-48, snr=7.0, sfrx=7, sftx=7, tx_trials=0, tx_power=12, tx_time_on_air=98, tx_counter=90, tx_frequency=868000000)
31/8/2020 10:4:37 msg Discover normal 12 3c71bf877510 stats (rx_timestamp=279324512, rssi=-46, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=12, tx_time_on_air=98, tx_counter=91, tx_frequency=868000000)
31/8/2020 10:4:40 msg Discover normal 12 3c71bf877510 stats (rx_timestamp=279324512, rssi=-46, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=12, tx_time_on_air=98, tx_counter=92, tx_frequency=868000000)
31/8/2020 10:4:42 msg Discover normal 13 3c71bf877510 stats (rx_timestamp=283076511, rssi=-46, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=13, tx_time_on_air=98, tx_counter=93, tx_frequency=868000000)
