, snr=-3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=129, tx_counter=3722, tx_frequency=868000000)
17/7/2020 2:47:57 msg Hay buena cobertura de sensor 2 10051 stats (rx_timestamp=1494092289, rssi=-108, snr=-3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=3752, tx_frequency=868000000)
17/7/2020 2:48:0 msg Hay buena cobertura de sensor 2 10052 stats (rx_timestamp=1496963300, rssi=-107, snr=-2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=129, tx_counter=3753, tx_frequency=868000000)
17/7/2020 2:48:3 msg Hay buena cobertura de sensor 2 10053 stats (rx_timestamp=1499692347, rssi=-107, snr=-2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=129, tx_counter=3754, tx_frequency=868000000)
17/7/2020 2:48:5 msg Hay buena cobertura de sensor 2 10054 stats (rx_timestamp=1502407316, rssi=-107, snr=-2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=129, tx_counter=3755, tx_frequency=868000000)
17/7/2020 2:48:8 msg Hay buena cobertura de sensor 2 10055 stats (rx_timestamp=1505109360, rssi=-107, snr=-3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=129, tx_counter=3756, tx_frequency=868000000)
17/7/2020 2:48:11 msg Hay buena cobertura de sensor 2 10056 stats (rx_timestamp=1507793370, rssi=-108, snr=-5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=129, tx_counter=3757, tx_frequency=868000000)
17/7/2020 2:48:13 msg Hay buena cobertura de sensor 2 10057 stats (rx_timestamp=1510480340, rssi=-108, snr=-3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=3758, tx_frequency=868000000)
17/7/2020 2:48:16 msg Hay buena cobertura de sensor 2 10058 stats (rx_timestamp=1513163309, rssi=-107, snr=-2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=129, tx_counter=3759, tx_frequency=868000000)
17/7/2020 2:48:27 msg Hay buena cobertura de sensor 2 10059 stats (rx_timestamp=1524381393, rssi=-109, snr=-3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=129, tx_counter=3764, tx_frequency=868000000)
17/7/2020 2:48:30 msg Hay buena cobertura de sensor 2 10063 stats (rx_timestamp=1527021398, rssi=-107, snr=-4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=129, tx_counter=3765, tx_frequency=868000000)
