6ç#ÓrãÂ6g'ƒÓrÂ6gGƒÓrÂG…÷G&–Ç3Ó, tx_power=3, tx_time_on_air=88, tx_counter=10, tx_frequency=868000000)
28/7/2020 12:1:54 msg Config 8 30aea474cbcc 3c71bf877510 stats (rx_timestamp=1555602425, rssi=-97, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=10, tx_frequency=868000000)
28/7/2020 12:1:56 msg Config 8 30aea474cbcc 3c71bf877510 stats (rx_timestamp=1558471430, rssi=-97, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=10, tx_frequency=868000000)
28/7/2020 12:2:1 msg Config 9 30aea474cbcc 3c71bf877510 stats (rx_timestamp=1562851414, rssi=-96, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=10, tx_frequency=868000000)
28/7/2020 12:2:4 msg Config 9 30aea474cbcc 3c71bf877510 stats (rx_timestamp=1566220409, rssi=-96, snr=7.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=10, tx_frequency=868000000)
28/7/2020 12:2:8 msg Config 10 30aea474cbcc 3c71bf877510 stats (rx_timestamp=1569762408, rssi=-95, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=10, tx_frequency=868000000)
28/7/2020 12:2:11 msg Config 10 30aea474cbcc 3c71bf877510 stats (rx_timestamp=1573124393, rssi=-95, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=10, tx_frequency=868000000)
28/7/2020 12:2:14 msg Config 11 30aea474cbcc 3c71bf877510 stats (rx_timestamp=1575999414, rssi=-95, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=10, tx_frequency=868000000)
28/7/2020 12:2:18 msg Config 11 30aea474cbcc 3c71bf877510 stats (rx_timestamp=1579868405, rssi=-95, snr=7.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=10, tx_frequency=868000000)
28/7/2020 12:2:22 msg Config 12 30aea474cbcc 3c71bf877510 stats (rx_timestamp=1584240373, rssi=-94, snr=7.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=10, tx_frequency=868000000)
28/7/2020 12:2:26 msg Config 12 30aea474cbcc 3c71bf877510 stats (rx_timestamp=1587604361, rssi=-94, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=10, tx_frequency=868000000)
