dencia 822 stats (rx_timestamp=2351314732, rssi=-104, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=822, tx_frequency=868000000)
28/7/2020 9:27:26 msg Discover normal 3 30aea458f354 stats (rx_timestamp=2483998101, rssi=-115, snr=-1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=98, tx_counter=848, tx_frequency=868000000)
28/7/2020 9:27:30 msg Discover normal 3 30aea458f354 stats (rx_timestamp=2489992105, rssi=-114, snr=-0.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=98, tx_counter=849, tx_frequency=868000000)
28/7/2020 9:27:34 msg Discover normal 3 30aea458f354 stats (rx_timestamp=2493372113, rssi=-113, snr=-0.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=98, tx_counter=850, tx_frequency=868000000)
28/7/2020 9:27:37 msg Discover normal 4 30aea458f354 stats (rx_timestamp=2493372113, rssi=-113, snr=-0.0, sfrx=7, sftx=7, tx_trials=0, tx_power=4, tx_time_on_air=98, tx_counter=851, tx_frequency=868000000)
28/7/2020 9:27:40 msg Discover normal 4 30aea458f354 stats (rx_timestamp=2493372113, rssi=-113, snr=-0.0, sfrx=7, sftx=7, tx_trials=0, tx_power=4, tx_time_on_air=98, tx_counter=852, tx_frequency=868000000)
28/7/2020 9:27:44 msg Discover normal 4 30aea458f354 stats (rx_timestamp=2504407092, rssi=-113, snr=1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=4, tx_time_on_air=98, tx_counter=853, tx_frequency=868000000)
28/7/2020 9:27:47 msg Discover normal 4 30aea458f354 stats (rx_timestamp=2507593099, rssi=-112, snr=0.0, sfrx=7, sftx=7, tx_trials=0, tx_power=4, tx_time_on_air=98, tx_counter=854, tx_frequency=868000000)
28/7/2020 9:27:51 msg Discover normal 5 30aea458f354 stats (rx_timestamp=2510895105, rssi=-112, snr=0.0, sfrx=7, sftx=7, tx_trials=0, tx_power=5, tx_time_on_air=98, tx_counter=855, tx_frequency=868000000)
28/7/2020 9:27:54 msg Discover normal 5 30aea458f354 stats (rx_timestamp=2510895105, rssi=-112, snr=0.0, sfrx=7, sftx=7, tx_trials=0, tx_power=5, tx_time_on_air=98, tx_counter=856, tx_frequency=868000000)
28/7/2020 9:27:58 msg Discover normal 5 30aea458f354 stats (rx_timestamp=2510895105, rssi=-112, snr=0.0, sfrx=7, sftx=7, tx_trials=0, tx_power=5, tx_time_on_air=98, tx_counter=857, tx_frequency=868000000)
28/7/2020 9:28:2 msg Discover normal 5 30aea458f354 stats (rx_timestamp=2520984120, rssi=-111, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=5, tx_time_on_air=98, tx_counter=858, tx_frequency=868000000)
28/7/2020 9:28:5 msg Discover normal 6 30aea458f354 stats (rx_timestamp=2524136131, rssi=-111, snr=0.0, sfrx=7, sftx=7, tx_trials=0, tx_power=6, tx_time_on_air=98, tx_counter=859, tx_frequency=868000000)
28/7/2020 9:28:9 msg Discover normal 6 30aea458f354 stats (rx_timestamp=2529467140, rssi=-111, snr=0.0, sfrx=7, sftx=7, tx_trials=0, tx_power=6, tx_time_on_air=98, tx_counter=860, tx_frequency=868000000)
28/7/2020 9:28:13 msg Discover normal 6 30aea458f354 stats (rx_timestamp=2531875184, rssi=-111, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=6, tx_time_on_air=98, tx_counter=861, tx_frequency=868000000)
28/7/2020 9:28:16 msg Discover normal 6 30aea458f354 stats (rx_timestamp=2535805190, rssi=-111, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=6, tx_time_on_air=98, tx_counter=862, tx_frequency=868000000)
28/7/2020 9:28:20 msg Discover normal 7 30aea458f354 stats (rx_timestamp=2539422199, rssi=-110, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=7, tx_time_on_air=98, tx_counter=863, tx_frequency=868000000)
28/7/2020 9:28:23 msg Discover normal 7 30aea458f354 stats (rx_timestamp=2539422199, rssi=-110, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=7, tx_time_on_air=98, tx_counter=864, tx_frequency=868000000)
28/7/2020 9:28:27 msg Discover normal 7 30aea458f354 stats (rx_timestamp=2546257213, rssi=-110, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=7, tx_time_on_air=98, tx_counter=865, tx_frequency=868000000)
28/7/2020 9:28:30 msg Discover normal 7 30aea458f354 stats (rx_timestamp=2549897216, rssi=-110, snr=3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=7, tx_time_on_air=98, tx_counter=866, tx_frequency=868000000)
28/7/2020 9:28:34 msg Discover normal 8 30aea458f354 stats (rx_timestamp=2554931221, rssi=-110, snr=3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=98, tx_counter=867, tx_frequency=868000000)
28/7/2020 9:28:38 msg Discover normal 8 30aea458f354 stats (rx_timestamp=2558029233, rssi=-110, snr=3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=98, tx_counter=868, tx_frequency=868000000)
28/7/2020 9:28:41 msg Discover normal 8 30aea458f354 stats (rx_timestamp=2558029233, rssi=-110, snr=3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=98, tx_counter=869, tx_frequency=868000000)
28/7/2020 9:28:44 msg Discover normal 8 30aea458f354 stats (rx_timestamp=2558029233, rssi=-110, snr=3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=98, tx_counter=870, tx_frequency=868000000)
28/7/2020 9:28:48 msg Discover normal 9 30aea458f354 stats (rx_timestamp=2568378202, rssi=-109, snr=4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=9, tx_time_on_air=98, tx_counter=871, tx_frequency=868000000)
28/7/2020 9:28:52 msg Discover normal 9 30aea458f354 stats (rx_timestamp=2572826216, rssi=-111, snr=3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=9, tx_time_on_air=98, tx_counter=872, tx_frequency=868000000)
28/7/2020 9:28:55 msg Discover normal 9 30aea458f354 stats (rx_timestamp=2572826216, rssi=-111, snr=3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=9, tx_time_on_air=98, tx_counter=873, tx_frequency=868000000)
28/7/2020 9:28:59 msg Discover normal 9 30aea458f354 stats (rx_timestamp=2578615225, rssi=-109, snr=4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=9, tx_time_on_air=98, tx_counter=874, tx_frequency=868000000)
