------------------------
20/7/2020 0:0:1 LoPy ON
20/7/2020 0:0:2 start Join
20/7/2020 0:0:2 finish Join
------------------------
20/7/2020 0:0:0 LoPy ON
20/7/2020 0:0:1 start Join
20/7/2020 0:0:2 finish Join
22/7/2020 21:47:21 Se ha pulsado el boton
22/7/2020 21:47:25 config start, sending 1
22/7/2020 21:50:30 intent config 81, msg sent: Config 14 30aea474cbcc
22/7/2020 21:50:33 intent config 82, msg sent: Config 3 30aea474cbcc
22/7/2020 21:50:35 intent config 83, msg sent: Config 3 30aea474cbcc
22/7/2020 21:50:37 intent config 84, msg sent: Config 4 30aea474cbcc
22/7/2020 21:50:40 intent config 85, msg sent: Config 4 30aea474cbcc
22/7/2020 21:50:42 intent config 86, msg sent: Config 5 30aea474cbcc
22/7/2020 21:50:45 intent config 87, msg sent: Config 5 30aea474cbcc
22/7/2020 21:50:47 intent config 88, msg sent: Config 6 30aea474cbcc
22/7/2020 21:50:49 intent config 89, msg sent: Config 6 30aea474cbcc
22/7/2020 21:50:52 ack config, msg received Config 4 30aea474cbcc 3c71bf877510
------------------------
20/7/2020 0:0:0 LoPy ON
20/7/2020 0:0:2 start Join
20/7/2020 0:0:2 finish Join
