------------------------
15/9/2020 0:14:51 msg Discover normal 7 30aea458f354 stats (rx_timestamp=892306658, rssi=-97, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=7, tx_time_on_air=98, tx_counter=211, tx_frequency=868000000)
15/9/2020 0:14:54 msg Discover normal 7 30aea458f354 stats (rx_timestamp=893974658, rssi=-98, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=7, tx_time_on_air=98, tx_counter=212, tx_frequency=868000000)
15/9/2020 0:14:57 msg Discover normal 7 30aea458f354 stats (rx_timestamp=897636658, rssi=-97, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=7, tx_time_on_air=98, tx_counter=213, tx_frequency=868000000)
15/9/2020 0:14:59 msg Discover normal 7 30aea458f354 stats (rx_timestamp=899309658, rssi=-97, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=7, tx_time_on_air=98, tx_counter=214, tx_frequency=868000000)
15/9/2020 0:15:2 msg Discover normal 8 30aea458f354 stats (rx_timestamp=902979657, rssi=-98, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=98, tx_counter=215, tx_frequency=868000000)
15/9/2020 0:15:5 msg Discover normal 8 30aea458f354 stats (rx_timestamp=905652650, rssi=-97, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=98, tx_counter=216, tx_frequency=868000000)
15/9/2020 0:15:7 msg Discover normal 8 30aea458f354 stats (rx_timestamp=907358650, rssi=-98, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=98, tx_counter=217, tx_frequency=868000000)
15/9/2020 0:15:10 msg Discover normal 8 30aea458f354 stats (rx_timestamp=911022649, rssi=-97, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=98, tx_counter=218, tx_frequency=868000000)
15/9/2020 0:15:13 msg Discover normal 9 30aea458f354 stats (rx_timestamp=913684648, rssi=-98, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=9, tx_time_on_air=98, tx_counter=219, tx_frequency=868000000)
15/9/2020 0:15:15 msg Discover normal 9 30aea458f354 stats (rx_timestamp=916356643, rssi=-98, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=9, tx_time_on_air=98, tx_counter=220, tx_frequency=868000000)
15/9/2020 0:15:18 msg Discover normal 9 30aea458f354 stats (rx_timestamp=919036648, rssi=-98, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=9, tx_time_on_air=98, tx_counter=221, tx_frequency=868000000)
15/9/2020 0:15:21 msg Discover normal 9 30aea458f354 stats (rx_timestamp=920688643, rssi=-98, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=9, tx_time_on_air=98, tx_counter=222, tx_frequency=868000000)
15/9/2020 0:15:23 msg Discover normal 10 30aea458f354 stats (rx_timestamp=924360640, rssi=-98, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=10, tx_time_on_air=98, tx_counter=223, tx_frequency=868000000)
15/9/2020 0:15:26 msg Discover normal 10 30aea458f354 stats (rx_timestamp=926035641, rssi=-98, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=10, tx_time_on_air=98, tx_counter=224, tx_frequency=868000000)
15/9/2020 0:15:29 msg Discover normal 10 30aea458f354 stats (rx_timestamp=928724702, rssi=-98, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=10, tx_time_on_air=98, tx_counter=225, tx_frequency=868000000)
15/9/2020 0:15:31 msg Discover normal 10 30aea458f354 stats (rx_timestamp=932390700, rssi=-98, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=10, tx_time_on_air=98, tx_counter=226, tx_frequency=868000000)
15/9/2020 0:15:34 msg Discover normal 11 30aea458f354 stats (rx_timestamp=935042700, rssi=-98, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=11, tx_time_on_air=98, tx_counter=227, tx_frequency=868000000)
15/9/2020 0:15:37 msg Discover normal 11 30aea458f354 stats (rx_timestamp=937762696, rssi=-97, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=11, tx_time_on_air=98, tx_counter=228, tx_frequency=868000000)
15/9/2020 0:15:39 msg Discover normal 11 30aea458f354 stats (rx_timestamp=939437695, rssi=-98, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=11, tx_time_on_air=98, tx_counter=229, tx_frequency=868000000)
