------------------------
15/9/2020 0:15:24 msg Hello 9 3c71bf875fa8 stats (rx_timestamp=926035641, rssi=-98, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=10, tx_time_on_air=98, tx_counter=224, tx_frequency=868000000)
15/9/2020 0:15:26 msg Hello 10 3c71bf875fa8 stats (rx_timestamp=928724702, rssi=-98, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=10, tx_time_on_air=98, tx_counter=225, tx_frequency=868000000)
15/9/2020 0:15:30 msg Hello 10 3c71bf875fa8 stats (rx_timestamp=932390700, rssi=-98, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=10, tx_time_on_air=98, tx_counter=226, tx_frequency=868000000)
15/9/2020 0:15:33 msg Hello 10 3c71bf875fa8 stats (rx_timestamp=935042700, rssi=-98, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=10, tx_time_on_air=98, tx_counter=227, tx_frequency=868000000)
15/9/2020 0:15:35 msg Hello 10 3c71bf875fa8 stats (rx_timestamp=937762696, rssi=-97, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=11, tx_time_on_air=98, tx_counter=228, tx_frequency=868000000)
15/9/2020 0:15:37 msg Hello 11 3c71bf875fa8 stats (rx_timestamp=939437695, rssi=-98, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=11, tx_time_on_air=98, tx_counter=229, tx_frequency=868000000)
15/9/2020 0:15:40 msg Hello 11 3c71bf875fa8 stats (rx_timestamp=942115692, rssi=-98, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=11, tx_time_on_air=98, tx_counter=230, tx_frequency=868000000)
15/9/2020 0:15:42 msg Hello 11 3c71bf875fa8 stats (rx_timestamp=944781688, rssi=-97, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=11, tx_time_on_air=98, tx_counter=231, tx_frequency=868000000)
15/9/2020 0:15:45 msg Hello 11 3c71bf875fa8 stats (rx_timestamp=947450694, rssi=-98, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=12, tx_time_on_air=98, tx_counter=232, tx_frequency=868000000)
15/9/2020 0:15:49 msg Hello 12 3c71bf875fa8 stats (rx_timestamp=951127688, rssi=-98, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=12, tx_time_on_air=98, tx_counter=233, tx_frequency=868000000)
15/9/2020 0:15:51 msg Hello 12 3c71bf875fa8 stats (rx_timestamp=953796685, rssi=-98, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=12, tx_time_on_air=98, tx_counter=234, tx_frequency=868000000)
