in s,C1 in V
-1.09981E+01,4.63222E+00
-1.09976E+01,4.64137E+00
-1.09971E+01,4.64061E+00
-1.09966E+01,4.64671E+00
-1.09961E+01,4.62901E+00
-1.09956E+01,4.63069E+00
-1.09951E+01,4.64229E+00
-1.09946E+01,4.64626E+00
-1.09940E+01,4.64046E+00
-1.09935E+01,4.64015E+00
-1.09930E+01,4.62825E+00
-1.09925E+01,4.63527E+00
-1.09920E+01,4.64290E+00
-1.09915E+01,4.63649E+00
-1.09910E+01,4.64900E+00
-1.09905E+01,4.62856E+00
-1.09900E+01,4.63268E+00
-1.09895E+01,4.64137E+00
-1.09890E+01,4.64503E+00
-1.09885E+01,4.64046E+00
-1.09880E+01,4.63680E+00
-1.09875E+01,4.62566E+00
-1.09870E+01,4.63634E+00
-1.09865E+01,4.64046E+00
-1.09860E+01,4.63649E+00
-1.09855E+01,4.64503E+00
-1.09850E+01,4.62794E+00
-1.09845E+01,4.63206E+00
-1.09840E+01,4.64427E+00
-1.09835E+01,4.64061E+00
-1.09830E+01,4.64687E+00
-1.09825E+01,4.62627E+00
-1.09820E+01,4.62993E+00
-1.09814E+01,4.63741E+00
-1.09809E+01,4.64412E+00
-1.09804E+01,4.63481E+00
-1.09799E+01,4.64702E+00
-1.09794E+01,4.62657E+00
-1.09789E+01,4.63527E+00
-1.09784E+01,4.64122E+00
-1.09779E+01,4.64091E+00
-1.09774E+01,4.64580E+00
-1.09769E+01,4.62779E+00
-1.09764E+01,4.62749E+00
-1.09759E+01,4.64046E+00
-1.09754E+01,4.64153E+00
-1.09749E+01,4.64198E+00
-1.09744E+01,4.63359E+00
-1.09739E+01,4.62947E+00
-1.09734E+01,4.63664E+00
-1.09729E+01,4.64626E+00
-1.09724E+01,4.63664E+00
-1.09719E+01,4.64748E+00
-1.09714E+01,4.62474E+00
-1.09709E+01,4.63191E+00
-1.09704E+01,4.63908E+00
-1.09699E+01,4.64244E+00
-1.09694E+01,4.64305E+00
-1.09688E+01,4.63680E+00
-1.09683E+01,4.62794E+00
-1.09678E+01,4.63969E+00
-1.09673E+01,4.64412E+00
-1.09668E+01,4.63893E+00
-1.09663E+01,4.64320E+00
-1.09658E+01,4.62718E+00
-1.09653E+01,4.63252E+00
-1.09648E+01,4.64366E+00
-1.09643E+01,4.63832E+00
-1.09638E+01,4.64687E+00
-1.09633E+01,4.62794E+00
-1.09628E+01,4.63237E+00
-1.09623E+01,4.63863E+00
-1.09618E+01,4.64565E+00
-1.09613E+01,4.63924E+00
-1.09608E+01,4.64183E+00
-1.09603E+01,4.62459E+00
-1.09598E+01,4.63557E+00
-1.09593E+01,4.64122E+00
-1.09588E+01,4.63832E+00
-1.09583E+01,4.64671E+00
-1.09578E+01,4.62871E+00
-1.09573E+01,4.63054E+00
-1.09568E+01,4.64290E+00
-1.09562E+01,4.64214E+00
-1.09557E+01,4.64351E+00
-1.09552E+01,4.63496E+00
-1.09547E+01,4.62932E+00
-1.09542E+01,4.63649E+00
-1.09537E+01,4.64565E+00
-1.09532E+01,4.63618E+00
-1.09527E+01,4.64702E+00
-1.09522E+01,4.62520E+00
-1.09517E+01,4.63405E+00
-1.09512E+01,4.64305E+00
-1.09507E+01,4.64290E+00
-1.09502E+01,4.64610E+00
-1.09497E+01,4.62978E+00
-1.09492E+01,4.62932E+00
-1.09487E+01,4.63908E+00
-1.09482E+01,4.64351E+00
-1.09477E+01,4.63725E+00
-1.09472E+01,4.64732E+00
-1.09467E+01,4.62901E+00
-1.09462E+01,4.63649E+00
-1.09457E+01,4.64458E+00
-1.09452E+01,4.64259E+00
-1.09447E+01,4.64839E+00
-1.09442E+01,4.62779E+00
-1.09436E+01,4.63054E+00
-1.09431E+01,4.64000E+00
-1.09426E+01,4.64275E+00
-1.09421E+01,4.64183E+00
-1.09416E+01,4.63573E+00
-1.09411E+01,4.62947E+00
-1.09406E+01,4.63771E+00
-1.09401E+01,4.64366E+00
-1.09396E+01,4.63832E+00
-1.09391E+01,4.64778E+00
-1.09386E+01,4.62825E+00
-1.09381E+01,4.63344E+00
-1.09376E+01,4.64153E+00
-1.09371E+01,4.64275E+00
-1.09366E+01,4.64534E+00
-1.09361E+01,4.63481E+00
-1.09356E+01,4.63008E+00
-1.09351E+01,4.64168E+00
-1.09346E+01,4.64580E+00
-1.09341E+01,4.63725E+00
-1.09336E+01,4.64687E+00
-1.09331E+01,4.62794E+00
-1.09326E+01,4.63344E+00
-1.09321E+01,4.64229E+00
-1.09316E+01,4.64030E+00
-1.09310E+01,4.64824E+00
-1.09305E+01,4.62749E+00
-1.09300E+01,4.62978E+00
-1.09295E+01,4.63969E+00
-1.09290E+01,4.64503E+00
-1.09285E+01,4.63893E+00
-1.09280E+01,4.63847E+00
-1.09275E+01,4.62383E+00
-1.09270E+01,4.63557E+00
-1.09265E+01,4.64107E+00
-1.09260E+01,4.63802E+00
-1.09255E+01,4.64702E+00
-1.09250E+01,4.62993E+00
-1.09245E+01,4.63054E+00
-1.09240E+01,4.64168E+00
-1.09235E+01,4.64168E+00
-1.09230E+01,4.64473E+00
-1.09225E+01,4.63466E+00
-1.09220E+01,4.62840E+00
-1.09215E+01,4.63588E+00
-1.09210E+01,4.64473E+00
-1.09205E+01,4.63512E+00
-1.09200E+01,4.64702E+00
-1.09195E+01,4.62535E+00
-1.09190E+01,4.63435E+00
-1.09184E+01,4.64015E+00
-1.09179E+01,4.64137E+00
-1.09174E+01,4.64320E+00
-1.09169E+01,4.62856E+00
-1.09164E+01,4.62566E+00
-1.09159E+01,4.63802E+00
-1.09154E+01,4.64183E+00
-1.09149E+01,4.63771E+00
-1.09144E+01,4.64229E+00
-1.09139E+01,4.62825E+00
-1.09134E+01,4.63496E+00
-1.09129E+01,4.64519E+00
-1.09124E+01,4.63786E+00
-1.09119E+01,4.64854E+00
-1.09114E+01,4.62703E+00
-1.09109E+01,4.63069E+00
-1.09104E+01,4.63756E+00
-1.09099E+01,4.64275E+00
-1.09094E+01,4.64091E+00
-1.09089E+01,4.63573E+00
-1.09084E+01,4.62550E+00
-1.09079E+01,4.63756E+00
-1.09074E+01,4.64214E+00
-1.09069E+01,4.63802E+00
-1.09064E+01,4.64412E+00
-1.09058E+01,4.62581E+00
-1.09053E+01,4.62642E+00
-1.09048E+01,4.64046E+00
-1.09043E+01,4.63695E+00
-1.09038E+01,4.64458E+00
-1.09033E+01,4.63130E+00
-1.09028E+01,4.63008E+00
-1.09023E+01,4.63649E+00
-1.09018E+01,4.64503E+00
-1.09013E+01,4.63527E+00
-1.09008E+01,4.64549E+00
-1.09003E+01,4.62230E+00
-1.08998E+01,4.63222E+00
-1.08993E+01,4.63954E+00
-1.08988E+01,4.63954E+00
-1.08983E+01,4.64397E+00
-1.08978E+01,4.62840E+00
-1.08973E+01,4.62794E+00
-1.08968E+01,4.63985E+00
-1.08963E+01,4.64015E+00
-1.08958E+01,4.64137E+00
-1.08953E+01,4.63832E+00
-1.08948E+01,4.62794E+00
-1.08943E+01,4.63329E+00
-1.08938E+01,4.64366E+00
-1.08932E+01,4.63634E+00
-1.08927E+01,4.64824E+00
-1.08922E+01,4.62520E+00
-1.08917E+01,4.63130E+00
