in s,C1 in V
-2.55684E+00,4.58156E+00
-2.55680E+00,4.57835E+00
-2.55675E+00,4.57423E+00
-2.55670E+00,4.56874E+00
-2.55666E+00,4.56310E+00
-2.55661E+00,4.55608E+00
-2.55656E+00,4.55318E+00
-2.55652E+00,4.55043E+00
-2.55647E+00,4.54723E+00
-2.55642E+00,4.54677E+00
-2.55638E+00,4.54692E+00
-2.55633E+00,4.54555E+00
-2.55628E+00,4.54524E+00
-2.55624E+00,4.54662E+00
-2.55619E+00,4.54692E+00
-2.55614E+00,4.54738E+00
-2.55610E+00,4.54692E+00
-2.55605E+00,4.54906E+00
-2.55600E+00,4.54936E+00
-2.55596E+00,4.54921E+00
-2.55591E+00,4.55119E+00
-2.55586E+00,4.55180E+00
-2.55582E+00,4.55287E+00
-2.55577E+00,4.55424E+00
-2.55572E+00,4.55486E+00
-2.55567E+00,4.55440E+00
-2.55563E+00,4.55562E+00
-2.55558E+00,4.55455E+00
-2.55553E+00,4.55714E+00
-2.55549E+00,4.55745E+00
-2.55544E+00,4.55775E+00
-2.55539E+00,4.55913E+00
-2.55535E+00,4.55867E+00
-2.55530E+00,4.56004E+00
-2.55525E+00,4.56111E+00
-2.55521E+00,4.56203E+00
-2.55516E+00,4.56325E+00
-2.55511E+00,4.56340E+00
-2.55507E+00,4.56371E+00
-2.55502E+00,4.56508E+00
-2.55497E+00,4.56523E+00
-2.55493E+00,4.56554E+00
-2.55488E+00,4.56462E+00
-2.55483E+00,4.56432E+00
-2.55479E+00,4.56538E+00
-2.55474E+00,4.56493E+00
-2.55469E+00,4.56310E+00
-2.55465E+00,4.56264E+00
-2.55460E+00,4.56142E+00
-2.55455E+00,4.56004E+00
-2.55450E+00,4.55836E+00
-2.55446E+00,4.55653E+00
-2.55441E+00,4.55424E+00
-2.55436E+00,4.55287E+00
-2.55432E+00,4.55272E+00
-2.55427E+00,4.55379E+00
-2.55422E+00,4.55745E+00
-2.55418E+00,4.56203E+00
-2.55413E+00,4.56813E+00
-2.55408E+00,4.57591E+00
-2.55404E+00,4.58278E+00
-2.55399E+00,4.58156E+00
-2.55394E+00,4.57607E+00
-2.55390E+00,4.57011E+00
-2.55385E+00,4.56569E+00
-2.55380E+00,4.56065E+00
-2.55376E+00,4.55669E+00
-2.55371E+00,4.55333E+00
-2.55366E+00,4.55104E+00
-2.55362E+00,4.54906E+00
-2.55357E+00,4.54646E+00
-2.55352E+00,4.54631E+00
-2.55348E+00,4.54662E+00
-2.55343E+00,4.54662E+00
-2.55338E+00,4.54677E+00
-2.55333E+00,4.54585E+00
-2.55329E+00,4.54753E+00
-2.55324E+00,4.54829E+00
-2.55319E+00,4.54982E+00
-2.55315E+00,4.55028E+00
-2.55310E+00,4.55150E+00
-2.55305E+00,4.55257E+00
-2.55301E+00,4.55135E+00
-2.55296E+00,4.55257E+00
-2.55291E+00,4.55394E+00
-2.55287E+00,4.55470E+00
-2.55282E+00,4.55577E+00
-2.55277E+00,4.55699E+00
-2.55273E+00,4.55791E+00
-2.55268E+00,4.55791E+00
-2.55263E+00,4.56050E+00
-2.55259E+00,4.56172E+00
-2.55254E+00,4.56172E+00
-2.55249E+00,4.56325E+00
-2.55245E+00,4.56538E+00
-2.55240E+00,4.56508E+00
-2.55235E+00,4.56569E+00
-2.55231E+00,4.56569E+00
-2.55226E+00,4.56599E+00
-2.55221E+00,4.56752E+00
-2.55216E+00,4.56798E+00
-2.55212E+00,4.56721E+00
-2.55207E+00,4.56691E+00
-2.55202E+00,4.56691E+00
-2.55198E+00,4.56615E+00
-2.55193E+00,4.56477E+00
-2.55188E+00,4.56386E+00
-2.55184E+00,4.56310E+00
-2.55179E+00,4.56264E+00
-2.55174E+00,4.56187E+00
-2.55170E+00,4.56004E+00
-2.55165E+00,4.55653E+00
-2.55160E+00,4.55577E+00
-2.55156E+00,4.55379E+00
-2.55151E+00,4.55257E+00
-2.55146E+00,4.55470E+00
-2.55142E+00,4.55745E+00
