in s,C1 in V
-2.99038E+00,4.66258E+00
-2.99033E+00,4.66212E+00
-2.99028E+00,4.66197E+00
-2.99023E+00,4.66121E+00
-2.99018E+00,4.65923E+00
-2.99013E+00,4.65450E+00
-2.99008E+00,4.65480E+00
-2.99003E+00,4.65388E+00
-2.98998E+00,4.65373E+00
-2.98993E+00,4.65419E+00
-2.98988E+00,4.65388E+00
-2.98983E+00,4.65205E+00
-2.98978E+00,4.65038E+00
-2.98973E+00,4.65038E+00
-2.98968E+00,4.64946E+00
-2.98963E+00,4.64839E+00
-2.98958E+00,4.64656E+00
-2.98953E+00,4.64519E+00
-2.98948E+00,4.64580E+00
-2.98943E+00,4.64412E+00
-2.98938E+00,4.64275E+00
-2.98932E+00,4.64214E+00
-2.98927E+00,4.64244E+00
-2.98922E+00,4.64214E+00
-2.98917E+00,4.64107E+00
-2.98912E+00,4.63985E+00
-2.98907E+00,4.63832E+00
-2.98902E+00,4.63756E+00
-2.98897E+00,4.63680E+00
-2.98892E+00,4.63588E+00
-2.98887E+00,4.63435E+00
-2.98882E+00,4.63481E+00
-2.98877E+00,4.63390E+00
-2.98872E+00,4.63313E+00
-2.98867E+00,4.63329E+00
-2.98862E+00,4.63145E+00
-2.98857E+00,4.63268E+00
-2.98852E+00,4.63298E+00
-2.98847E+00,4.63191E+00
-2.98842E+00,4.63191E+00
-2.98837E+00,4.63039E+00
-2.98832E+00,4.62947E+00
-2.98827E+00,4.62856E+00
-2.98822E+00,4.62917E+00
-2.98817E+00,4.62840E+00
-2.98812E+00,4.62947E+00
-2.98806E+00,4.63008E+00
-2.98801E+00,4.62779E+00
-2.98796E+00,4.62642E+00
-2.98791E+00,4.62215E+00
-2.98786E+00,4.61787E+00
-2.98781E+00,4.61421E+00
-2.98776E+00,4.61482E+00
-2.98771E+00,4.61665E+00
-2.98766E+00,4.61848E+00
-2.98761E+00,4.62169E+00
-2.98756E+00,4.62062E+00
-2.98751E+00,4.62093E+00
-2.98746E+00,4.62077E+00
-2.98741E+00,4.62199E+00
-2.98736E+00,4.62169E+00
-2.98731E+00,4.62276E+00
-2.98726E+00,4.62337E+00
-2.98721E+00,4.62352E+00
-2.98716E+00,4.62398E+00
-2.98711E+00,4.62398E+00
-2.98706E+00,4.62398E+00
-2.98701E+00,4.62352E+00
-2.98696E+00,4.62291E+00
-2.98691E+00,4.62199E+00
-2.98686E+00,4.62352E+00
-2.98680E+00,4.62260E+00
-2.98675E+00,4.62123E+00
-2.98670E+00,4.62184E+00
-2.98665E+00,4.62093E+00
-2.98660E+00,4.62215E+00
-2.98655E+00,4.62184E+00
-2.98650E+00,4.62093E+00
-2.98645E+00,4.62108E+00
-2.98640E+00,4.62001E+00
-2.98635E+00,4.61620E+00
-2.98630E+00,4.61269E+00
-2.98625E+00,4.60994E+00
-2.98620E+00,4.60796E+00
-2.98615E+00,4.60567E+00
-2.98610E+00,4.60307E+00
-2.98605E+00,4.60429E+00
-2.98600E+00,4.60765E+00
-2.98595E+00,4.60948E+00
-2.98590E+00,4.61162E+00
-2.98585E+00,4.61360E+00
-2.98580E+00,4.61436E+00
-2.98575E+00,4.61635E+00
-2.98570E+00,4.61589E+00
-2.98565E+00,4.61879E+00
-2.98560E+00,4.61894E+00
-2.98554E+00,4.61787E+00
-2.98549E+00,4.61711E+00
-2.98544E+00,4.61864E+00
-2.98539E+00,4.61848E+00
-2.98534E+00,4.61940E+00
-2.98529E+00,4.61879E+00
-2.98524E+00,4.62001E+00
-2.98519E+00,4.61971E+00
-2.98514E+00,4.62047E+00
-2.98509E+00,4.62032E+00
-2.98504E+00,4.61986E+00
-2.98499E+00,4.62062E+00
-2.98494E+00,4.62062E+00
-2.98489E+00,4.62154E+00
-2.98484E+00,4.62108E+00
-2.98479E+00,4.62138E+00
-2.98474E+00,4.62093E+00
-2.98469E+00,4.62093E+00
-2.98464E+00,4.62108E+00
-2.98459E+00,4.62108E+00
-2.98454E+00,4.62154E+00
-2.98449E+00,4.62138E+00
-2.98444E+00,4.62184E+00
-2.98439E+00,4.62138E+00
-2.98434E+00,4.62230E+00
-2.98428E+00,4.62215E+00
-2.98423E+00,4.62138E+00
-2.98418E+00,4.62047E+00
-2.98413E+00,4.62184E+00
-2.98408E+00,4.62199E+00
-2.98403E+00,4.62199E+00
-2.98398E+00,4.62184E+00
-2.98393E+00,4.62123E+00
-2.98388E+00,4.62123E+00
-2.98383E+00,4.62184E+00
-2.98378E+00,4.62199E+00
-2.98373E+00,4.62245E+00
-2.98368E+00,4.62276E+00
-2.98363E+00,4.62321E+00
-2.98358E+00,4.62398E+00
-2.98353E+00,4.62383E+00
-2.98348E+00,4.62459E+00
-2.98343E+00,4.62413E+00
-2.98338E+00,4.62459E+00
-2.98333E+00,4.62459E+00
-2.98328E+00,4.62352E+00
-2.98323E+00,4.62352E+00
-2.98318E+00,4.62444E+00
-2.98313E+00,4.62489E+00
-2.98308E+00,4.62352E+00
-2.98302E+00,4.62383E+00
-2.98297E+00,4.62505E+00
-2.98292E+00,4.62444E+00
-2.98287E+00,4.62520E+00
-2.98282E+00,4.62505E+00
-2.98277E+00,4.62672E+00
-2.98272E+00,4.62581E+00
-2.98267E+00,4.62566E+00
-2.98262E+00,4.62444E+00
-2.98257E+00,4.62505E+00
-2.98252E+00,4.62581E+00
-2.98247E+00,4.62535E+00
-2.98242E+00,4.62474E+00
-2.98237E+00,4.62596E+00
-2.98232E+00,4.62596E+00
-2.98227E+00,4.62657E+00
-2.98222E+00,4.62672E+00
-2.98217E+00,4.62764E+00
-2.98212E+00,4.62733E+00
-2.98207E+00,4.62520E+00
-2.98202E+00,4.62627E+00
-2.98197E+00,4.62566E+00
-2.98192E+00,4.62535E+00
-2.98187E+00,4.62520E+00
-2.98182E+00,4.62505E+00
-2.98176E+00,4.62367E+00
-2.98171E+00,4.62352E+00
-2.98166E+00,4.62337E+00
-2.98161E+00,4.62413E+00
-2.98156E+00,4.62535E+00
-2.98151E+00,4.62642E+00
-2.98146E+00,4.62596E+00
-2.98141E+00,4.62688E+00
-2.98136E+00,4.62718E+00
-2.98131E+00,4.62657E+00
-2.98126E+00,4.62718E+00
-2.98121E+00,4.62733E+00
-2.98116E+00,4.62703E+00
-2.98111E+00,4.62840E+00
-2.98106E+00,4.62886E+00
-2.98101E+00,4.62856E+00
-2.98096E+00,4.62871E+00
-2.98091E+00,4.62886E+00
-2.98086E+00,4.62886E+00
-2.98081E+00,4.62947E+00
-2.98076E+00,4.62947E+00
-2.98071E+00,4.62901E+00
-2.98066E+00,4.62856E+00
-2.98061E+00,4.62871E+00
-2.98056E+00,4.62962E+00
-2.98050E+00,4.62932E+00
-2.98045E+00,4.62947E+00
-2.98040E+00,4.62993E+00
-2.98035E+00,4.63084E+00
-2.98030E+00,4.63023E+00
-2.98025E+00,4.62993E+00
-2.98020E+00,4.62993E+00
-2.98015E+00,4.62978E+00
-2.98010E+00,4.63054E+00
-2.98005E+00,4.63130E+00
-2.98000E+00,4.63130E+00
-2.97995E+00,4.63130E+00
-2.97990E+00,4.63039E+00
-2.97985E+00,4.62978E+00
-2.97980E+00,4.63039E+00
-2.97975E+00,4.62978E+00
-2.97970E+00,4.63023E+00
-2.97965E+00,4.63084E+00
-2.97960E+00,4.62993E+00
-2.97955E+00,4.62810E+00
-2.97950E+00,4.62428E+00
-2.97945E+00,4.62016E+00
-2.97940E+00,4.61696E+00
-2.97935E+00,4.61604E+00
-2.97930E+00,4.61375E+00
-2.97924E+00,4.61681E+00
-2.97919E+00,4.61925E+00
-2.97914E+00,4.62169E+00
-2.97909E+00,4.62367E+00
-2.97904E+00,4.62459E+00
-2.97899E+00,4.62550E+00
-2.97894E+00,4.62596E+00
-2.97889E+00,4.62718E+00
-2.97884E+00,4.62825E+00
-2.97879E+00,4.62978E+00
-2.97874E+00,4.62978E+00
-2.97869E+00,4.63130E+00
-2.97864E+00,4.63191E+00
-2.97859E+00,4.63268E+00
-2.97854E+00,4.63252E+00
-2.97849E+00,4.63298E+00
-2.97844E+00,4.63466E+00
-2.97839E+00,4.63634E+00
-2.97834E+00,4.63695E+00
-2.97829E+00,4.63618E+00
-2.97824E+00,4.63649E+00
-2.97819E+00,4.63557E+00
-2.97814E+00,4.63557E+00
-2.97809E+00,4.63618E+00
-2.97804E+00,4.63542E+00
-2.97798E+00,4.63268E+00
-2.97793E+00,4.62886E+00
-2.97788E+00,4.62810E+00
-2.97783E+00,4.62886E+00
-2.97778E+00,4.63023E+00
-2.97773E+00,4.63039E+00
-2.97768E+00,4.63161E+00
-2.97763E+00,4.63313E+00
-2.97758E+00,4.63374E+00
-2.97753E+00,4.63512E+00
-2.97748E+00,4.63603E+00
-2.97743E+00,4.63573E+00
-2.97738E+00,4.63695E+00
-2.97733E+00,4.63573E+00
-2.97728E+00,4.63618E+00
-2.97723E+00,4.63664E+00
-2.97718E+00,4.63695E+00
-2.97713E+00,4.63725E+00
-2.97708E+00,4.63756E+00
-2.97703E+00,4.63786E+00
-2.97698E+00,4.63771E+00
-2.97693E+00,4.63710E+00
-2.97688E+00,4.63802E+00
-2.97683E+00,4.63863E+00
-2.97678E+00,4.63832E+00
-2.97672E+00,4.63863E+00
-2.97667E+00,4.63832E+00
-2.97662E+00,4.63847E+00
-2.97657E+00,4.63924E+00
-2.97652E+00,4.63832E+00
-2.97647E+00,4.63908E+00
-2.97642E+00,4.64030E+00
-2.97637E+00,4.63969E+00
-2.97632E+00,4.63908E+00
-2.97627E+00,4.63939E+00
-2.97622E+00,4.63771E+00
-2.97617E+00,4.63695E+00
-2.97612E+00,4.63680E+00
-2.97607E+00,4.63725E+00
-2.97602E+00,4.63878E+00
-2.97597E+00,4.64000E+00
-2.97592E+00,4.63985E+00
-2.97587E+00,4.64000E+00
-2.97582E+00,4.64061E+00
-2.97577E+00,4.63969E+00
-2.97572E+00,4.63924E+00
-2.97567E+00,4.63985E+00
-2.97562E+00,4.63969E+00
-2.97557E+00,4.63939E+00
-2.97552E+00,4.64030E+00
-2.97546E+00,4.63954E+00
-2.97541E+00,4.63954E+00
-2.97536E+00,4.63847E+00
-2.97531E+00,4.63786E+00
-2.97526E+00,4.63924E+00
-2.97521E+00,4.63939E+00
-2.97516E+00,4.63985E+00
-2.97511E+00,4.64091E+00
-2.97506E+00,4.64015E+00
-2.97501E+00,4.64076E+00
-2.97496E+00,4.64091E+00
-2.97491E+00,4.63969E+00
-2.97486E+00,4.63985E+00
-2.97481E+00,4.64015E+00
-2.97476E+00,4.64076E+00
-2.97471E+00,4.64030E+00
-2.97466E+00,4.63924E+00
-2.97461E+00,4.64061E+00
-2.97456E+00,4.64107E+00
-2.97451E+00,4.64107E+00
-2.97446E+00,4.64061E+00
-2.97441E+00,4.64061E+00
-2.97436E+00,4.64000E+00
-2.97431E+00,4.63985E+00
-2.97426E+00,4.63939E+00
-2.97420E+00,4.63985E+00
-2.97415E+00,4.64000E+00
-2.97410E+00,4.63969E+00
-2.97405E+00,4.63924E+00
-2.97400E+00,4.63969E+00
-2.97395E+00,4.64000E+00
-2.97390E+00,4.63954E+00
-2.97385E+00,4.63939E+00
-2.97380E+00,4.63985E+00
-2.97375E+00,4.64076E+00
-2.97370E+00,4.64091E+00
-2.97365E+00,4.64107E+00
-2.97360E+00,4.64137E+00
-2.97355E+00,4.64076E+00
-2.97350E+00,4.64046E+00
-2.97345E+00,4.64015E+00
-2.97340E+00,4.63985E+00
-2.97335E+00,4.63573E+00
-2.97330E+00,4.63603E+00
-2.97325E+00,4.63557E+00
-2.97320E+00,4.63725E+00
-2.97315E+00,4.63741E+00
-2.97310E+00,4.63832E+00
-2.97305E+00,4.63893E+00
-2.97300E+00,4.63786E+00
-2.97294E+00,4.63786E+00
-2.97289E+00,4.63802E+00
-2.97284E+00,4.63802E+00
-2.97279E+00,4.63832E+00
-2.97274E+00,4.63893E+00
-2.97269E+00,4.63817E+00
-2.97264E+00,4.63878E+00
-2.97259E+00,4.63863E+00
-2.97254E+00,4.63832E+00
-2.97249E+00,4.63786E+00
-2.97244E+00,4.63603E+00
-2.97239E+00,4.63664E+00
-2.97234E+00,4.63756E+00
-2.97229E+00,4.63756E+00
-2.97224E+00,4.63664E+00
-2.97219E+00,4.63603E+00
-2.97214E+00,4.63634E+00
-2.97209E+00,4.63603E+00
-2.97204E+00,4.63618E+00
-2.97199E+00,4.63664E+00
-2.97194E+00,4.63573E+00
-2.97189E+00,4.63557E+00
-2.97184E+00,4.63649E+00
-2.97179E+00,4.63573E+00
-2.97174E+00,4.63527E+00
-2.97168E+00,4.63451E+00
-2.97163E+00,4.63496E+00
-2.97158E+00,4.63451E+00
-2.97153E+00,4.63481E+00
-2.97148E+00,4.63481E+00
-2.97143E+00,4.63435E+00
-2.97138E+00,4.63481E+00
-2.97133E+00,4.63420E+00
