rx_timestamp=2793744613, rssi=-122, snr=-6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=103, tx_counter=221, tx_frequency=868000000)
19/8/2020 12:1:24 msg Config 12 30aea474cbcc 3c71bf875fa8 3c71bf877510 stats (rx_timestamp=2996191051, rssi=-119, snr=-3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=103, tx_counter=221, tx_frequency=868000000)
19/8/2020 12:1:28 msg Config 13 30aea474cbcc 3c71bf875fa8 3c71bf877510 stats (rx_timestamp=2999666005, rssi=-117, snr=-3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=103, tx_counter=221, tx_frequency=868000000)
19/8/2020 12:1:32 msg Config 13 30aea474cbcc 3c71bf875fa8 3c71bf877510 stats (rx_timestamp=3003821993, rssi=-117, snr=-3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=103, tx_counter=221, tx_frequency=868000000)
19/8/2020 12:1:36 msg Config 14 30aea474cbcc 3c71bf875fa8 3c71bf877510 stats (rx_timestamp=3008297978, rssi=-119, snr=-3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=103, tx_counter=221, tx_frequency=868000000)
19/8/2020 12:1:40 msg Config 14 30aea474cbcc 3c71bf875fa8 3c71bf877510 stats (rx_timestamp=3011768973, rssi=-116, snr=-1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=103, tx_counter=221, tx_frequency=868000000)
19/8/2020 12:2:15 msg Config 6 30aea474cbcc 3c71bf875fa8 3c71bf877510 stats (rx_timestamp=3047152877, rssi=-125, snr=-8.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=103, tx_counter=221, tx_frequency=868000000)
19/8/2020 12:2:35 msg Config 9 30aea474cbcc 3c71bf875fa8 3c71bf877510 stats (rx_timestamp=3066932777, rssi=-123, snr=-6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=103, tx_counter=221, tx_frequency=868000000)
19/8/2020 12:2:39 msg Config 9 30aea474cbcc 3c71bf875fa8 3c71bf877510 stats (rx_timestamp=3070382765, rssi=-124, snr=-7.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=103, tx_counter=221, tx_frequency=868000000)
19/8/2020 12:2:42 msg Config 10 30aea474cbcc 3c71bf875fa8 3c71bf877510 stats (rx_timestamp=3073530845, rssi=-122, snr=-9.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=103, tx_counter=221, tx_frequency=868000000)
19/8/2020 12:2:45 msg Config 10 30aea474cbcc 3c71bf875fa8 3c71bf877510 stats (rx_timestamp=3076985836, rssi=-121, snr=-5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=103, tx_counter=221, tx_frequency=868000000)
