in s,C2 in V
-1.49981E+01,9.57062E-02
-1.49976E+01,9.41803E-02
-1.49971E+01,9.89105E-02
-1.49966E+01,9.63165E-02
-1.49961E+01,9.29596E-02
-1.49956E+01,9.43329E-02
-1.49951E+01,9.52484E-02
-1.49946E+01,9.66217E-02
-1.49940E+01,9.83002E-02
-1.49935E+01,9.47906E-02
-1.49930E+01,9.47906E-02
-1.49925E+01,9.54010E-02
-1.49920E+01,9.31122E-02
-1.49915E+01,9.64691E-02
-1.49910E+01,9.72321E-02
-1.49905E+01,9.29596E-02
-1.49900E+01,9.31122E-02
-1.49895E+01,9.35699E-02
-1.49890E+01,9.58588E-02
-1.49885E+01,9.86053E-02
-1.49880E+01,9.69269E-02
-1.49875E+01,9.37225E-02
-1.49870E+01,9.63165E-02
-1.49865E+01,9.28070E-02
-1.49860E+01,9.89105E-02
-1.49855E+01,9.75372E-02
-1.49850E+01,9.57062E-02
-1.49845E+01,9.35699E-02
-1.49840E+01,9.64691E-02
-1.49835E+01,9.35699E-02
-1.49830E+01,9.87579E-02
-1.49825E+01,9.67743E-02
-1.49820E+01,9.55536E-02
-1.49814E+01,9.43329E-02
-1.49809E+01,9.47906E-02
-1.49804E+01,9.41803E-02
-1.49799E+01,9.86053E-02
-1.49794E+01,9.50958E-02
-1.49789E+01,9.49432E-02
-1.49784E+01,9.52484E-02
-1.49779E+01,9.40277E-02
-1.49774E+01,9.78424E-02
-1.49769E+01,9.83002E-02
-1.49764E+01,9.43329E-02
-1.49759E+01,9.50958E-02
-1.49754E+01,9.38751E-02
-1.49749E+01,9.52484E-02
-1.49744E+01,9.83002E-02
-1.49739E+01,9.61639E-02
-1.49734E+01,9.25018E-02
-1.49729E+01,9.47906E-02
-1.49724E+01,9.38751E-02
-1.49719E+01,9.89105E-02
-1.49714E+01,9.84528E-02
-1.49709E+01,9.64691E-02
-1.49704E+01,9.43329E-02
-1.49699E+01,9.57062E-02
-1.49694E+01,9.29596E-02
-1.49688E+01,9.72321E-02
-1.49683E+01,9.60114E-02
-1.49678E+01,9.40277E-02
-1.49673E+01,9.38751E-02
-1.49668E+01,9.28070E-02
-1.49663E+01,9.64691E-02
-1.49658E+01,9.81476E-02
-1.49653E+01,9.50958E-02
-1.49648E+01,9.41803E-02
-1.49643E+01,9.61639E-02
-1.49638E+01,9.29596E-02
-1.49633E+01,9.92157E-02
-1.49628E+01,9.57062E-02
-1.49623E+01,9.54010E-02
-1.49618E+01,9.32648E-02
-1.49613E+01,9.44855E-02
-1.49608E+01,9.34174E-02
-1.49603E+01,9.72321E-02
-1.49598E+01,9.31122E-02
-1.49593E+01,9.25018E-02
-1.49588E+01,9.31122E-02
-1.49583E+01,9.15863E-02
-1.49578E+01,9.47906E-02
-1.49573E+01,9.57062E-02
-1.49568E+01,9.31122E-02
-1.49562E+01,9.28070E-02
-1.49557E+01,9.28070E-02
-1.49552E+01,9.08234E-02
-1.49547E+01,9.43329E-02
-1.49542E+01,9.43329E-02
-1.49537E+01,9.08234E-02
-1.49532E+01,9.14337E-02
-1.49527E+01,8.94501E-02
-1.49522E+01,9.54010E-02
-1.49517E+01,9.37225E-02
-1.49512E+01,9.20441E-02
-1.49507E+01,8.91449E-02
-1.49502E+01,9.25018E-02
-1.49497E+01,8.96027E-02
-1.49492E+01,9.40277E-02
-1.49487E+01,9.25018E-02
-1.49482E+01,9.15863E-02
-1.49477E+01,9.00604E-02
-1.49472E+01,9.26544E-02
-1.49467E+01,9.03656E-02
-1.49462E+01,9.60114E-02
-1.49457E+01,9.34174E-02
-1.49452E+01,9.20441E-02
-1.49447E+01,9.08234E-02
-1.49442E+01,9.06708E-02
-1.49436E+01,9.63165E-02
-1.49431E+01,9.57062E-02
-1.49426E+01,9.18915E-02
-1.49421E+01,9.06708E-02
-1.49416E+01,9.31122E-02
-1.49411E+01,9.21967E-02
-1.49406E+01,9.46381E-02
-1.49401E+01,9.25018E-02
-1.49396E+01,8.99078E-02
-1.49391E+01,9.09760E-02
-1.49386E+01,9.00604E-02
-1.49381E+01,9.31122E-02
-1.49376E+01,9.47906E-02
-1.49371E+01,9.28070E-02
-1.49366E+01,9.12811E-02
-1.49361E+01,9.40277E-02
-1.49356E+01,9.17389E-02
-1.49351E+01,9.66217E-02
-1.49346E+01,9.57062E-02
-1.49341E+01,9.47906E-02
-1.49336E+01,9.38751E-02
-1.49331E+01,9.41803E-02
-1.49326E+01,9.52484E-02
-1.49321E+01,9.64691E-02
-1.49316E+01,9.63165E-02
-1.49310E+01,9.38751E-02
-1.49305E+01,9.67743E-02
-1.49300E+01,9.25018E-02
-1.49295E+01,9.87579E-02
-1.49290E+01,9.47906E-02
-1.49285E+01,9.47906E-02
-1.49280E+01,9.26544E-02
-1.49275E+01,9.43329E-02
-1.49270E+01,9.25018E-02
-1.49265E+01,9.66217E-02
-1.49260E+01,9.34174E-02
-1.49255E+01,9.32648E-02
-1.49250E+01,9.32648E-02
-1.49245E+01,9.25018E-02
-1.49240E+01,9.43329E-02
-1.49235E+01,9.61639E-02
-1.49230E+01,9.25018E-02
-1.49225E+01,9.25018E-02
-1.49220E+01,9.40277E-02
-1.49215E+01,9.31122E-02
-1.49210E+01,9.69269E-02
-1.49205E+01,9.66217E-02
-1.49200E+01,9.40277E-02
-1.49195E+01,9.46381E-02
-1.49190E+01,9.35699E-02
-1.49184E+01,9.64691E-02
-1.49179E+01,9.78424E-02
-1.49174E+01,9.69269E-02
-1.49169E+01,9.38751E-02
-1.49164E+01,9.61639E-02
-1.49159E+01,9.25018E-02
-1.49154E+01,9.76898E-02
-1.49149E+01,9.64691E-02
-1.49144E+01,9.43329E-02
-1.49139E+01,9.25018E-02
-1.49134E+01,9.50958E-02
-1.49129E+01,9.11285E-02
-1.49124E+01,9.70795E-02
-1.49119E+01,9.52484E-02
-1.49114E+01,9.41803E-02
-1.49109E+01,9.32648E-02
-1.49104E+01,9.23492E-02
-1.49099E+01,9.47906E-02
-1.49094E+01,9.69269E-02
-1.49089E+01,9.55536E-02
-1.49084E+01,9.47906E-02
-1.49079E+01,9.43329E-02
-1.49074E+01,9.11285E-02
-1.49069E+01,9.78424E-02
-1.49064E+01,9.75372E-02
-1.49058E+01,9.41803E-02
-1.49053E+01,9.46381E-02
-1.49048E+01,9.35699E-02
-1.49043E+01,9.44855E-02
-1.49038E+01,9.76898E-02
-1.49033E+01,9.57062E-02
-1.49028E+01,9.47906E-02
-1.49023E+01,9.47906E-02
-1.49018E+01,9.28070E-02
-1.49013E+01,9.54010E-02
-1.49008E+01,9.72321E-02
-1.49003E+01,9.34174E-02
-1.48998E+01,9.29596E-02
-1.48993E+01,9.47906E-02
-1.48988E+01,9.43329E-02
-1.48983E+01,9.75372E-02
-1.48978E+01,9.73846E-02
-1.48973E+01,9.49432E-02
-1.48968E+01,9.60114E-02
-1.48963E+01,9.46381E-02
-1.48958E+01,9.78424E-02
-1.48953E+01,9.69269E-02
-1.48948E+01,9.55536E-02
-1.48943E+01,9.23492E-02
-1.48938E+01,9.57062E-02
-1.48932E+01,9.26544E-02
-1.48927E+01,9.87579E-02
-1.48922E+01,9.67743E-02
-1.48917E+01,9.50958E-02
-1.48912E+01,9.29596E-02
-1.48907E+01,9.57062E-02
-1.48902E+01,9.34174E-02
-1.48897E+01,9.78424E-02
-1.48892E+01,9.47906E-02
-1.48887E+01,9.35699E-02
-1.48882E+01,9.32648E-02
-1.48877E+01,9.26544E-02
-1.48872E+01,9.72321E-02
-1.48867E+01,9.83002E-02
-1.48862E+01,9.44855E-02
-1.48857E+01,9.38751E-02
-1.48852E+01,9.44855E-02
-1.48847E+01,9.38751E-02
-1.48842E+01,9.61639E-02
-1.48837E+01,9.49432E-02
-1.48832E+01,9.29596E-02
-1.48827E+01,9.43329E-02
-1.48822E+01,9.28070E-02
-1.48817E+01,9.75372E-02
-1.48812E+01,9.66217E-02
-1.48806E+01,9.52484E-02
-1.48801E+01,9.46381E-02
-1.48796E+01,9.58588E-02
-1.48791E+01,9.14337E-02
-1.48786E+01,9.69269E-02
-1.48781E+01,9.67743E-02
-1.48776E+01,9.72321E-02
-1.48771E+01,9.41803E-02
-1.48766E+01,9.43329E-02
-1.48761E+01,9.50958E-02
-1.48756E+01,9.79950E-02
-1.48751E+01,9.54010E-02
-1.48746E+01,9.50958E-02
-1.48741E+01,9.44855E-02
-1.48736E+01,9.18915E-02
-1.48731E+01,9.63165E-02
-1.48726E+01,9.50958E-02
-1.48721E+01,9.32648E-02
-1.48716E+01,9.23492E-02
-1.48711E+01,9.32648E-02
-1.48706E+01,9.23492E-02
-1.48701E+01,9.87579E-02
-1.48696E+01,9.57062E-02
-1.48691E+01,9.38751E-02
-1.48686E+01,9.40277E-02
-1.48680E+01,9.37225E-02
-1.48675E+01,9.57062E-02
-1.48670E+01,9.69269E-02
-1.48665E+01,9.43329E-02
