in s,C1 in V
-4.39076E+00,4.65617E+00
-4.39066E+00,4.66228E+00
-4.39056E+00,4.65373E+00
-4.39046E+00,4.66548E+00
-4.39036E+00,4.66777E+00
-4.39026E+00,4.67006E+00
-4.39016E+00,4.67082E+00
-4.39006E+00,4.66930E+00
-4.38996E+00,4.67021E+00
-4.38986E+00,4.67006E+00
-4.38976E+00,4.66045E+00
-4.38966E+00,4.66624E+00
-4.38955E+00,4.65968E+00
-4.38945E+00,4.65907E+00
-4.38935E+00,4.66487E+00
-4.38925E+00,4.67860E+00
-4.38915E+00,4.68852E+00
-4.38905E+00,4.67281E+00
-4.38895E+00,4.66273E+00
-4.38885E+00,4.65709E+00
-4.38875E+00,4.64915E+00
-4.38865E+00,4.65205E+00
-4.38855E+00,4.64198E+00
-4.38845E+00,4.65266E+00
-4.38834E+00,4.65465E+00
-4.38824E+00,4.65709E+00
-4.38814E+00,4.65770E+00
-4.38804E+00,4.65724E+00
-4.38794E+00,4.65968E+00
-4.38784E+00,4.66121E+00
-4.38774E+00,4.65633E+00
-4.38764E+00,4.66548E+00
-4.38754E+00,4.66487E+00
-4.38744E+00,4.66716E+00
-4.38734E+00,4.66762E+00
-4.38724E+00,4.66762E+00
-4.38714E+00,4.66716E+00
-4.38703E+00,4.66487E+00
-4.38693E+00,4.66243E+00
-4.38683E+00,4.65984E+00
-4.38673E+00,4.65221E+00
-4.38663E+00,4.65907E+00
-4.38653E+00,4.67128E+00
-4.38643E+00,4.68806E+00
-4.38633E+00,4.67189E+00
-4.38623E+00,4.66151E+00
-4.38613E+00,4.65694E+00
-4.38603E+00,4.65282E+00
-4.38593E+00,4.65175E+00
-4.38582E+00,4.65175E+00
-4.38572E+00,4.64595E+00
-4.38562E+00,4.65266E+00
-4.38552E+00,4.65602E+00
-4.38542E+00,4.65816E+00
-4.38532E+00,4.66014E+00
-4.38522E+00,4.66167E+00
-4.38512E+00,4.66289E+00
-4.38502E+00,4.66472E+00
-4.38492E+00,4.66731E+00
-4.38482E+00,4.66579E+00
-4.38472E+00,4.66777E+00
-4.38462E+00,4.66319E+00
-4.38451E+00,4.66487E+00
-4.38441E+00,4.66823E+00
-4.38431E+00,4.66701E+00
-4.38421E+00,4.66426E+00
-4.38411E+00,4.66182E+00
-4.38401E+00,4.65770E+00
-4.38391E+00,4.66045E+00
-4.38381E+00,4.66762E+00
-4.38371E+00,4.68166E+00
-4.38361E+00,4.67342E+00
-4.38351E+00,4.66167E+00
-4.38341E+00,4.65678E+00
-4.38330E+00,4.65343E+00
-4.38320E+00,4.65129E+00
-4.38310E+00,4.65129E+00
-4.38300E+00,4.65129E+00
-4.38290E+00,4.65327E+00
-4.38280E+00,4.65007E+00
-4.38270E+00,4.65556E+00
-4.38260E+00,4.64931E+00
-4.38250E+00,4.65923E+00
-4.38240E+00,4.66258E+00
-4.38230E+00,4.66258E+00
-4.38220E+00,4.66426E+00
-4.38210E+00,4.66624E+00
-4.38199E+00,4.66762E+00
-4.38189E+00,4.66838E+00
-4.38179E+00,4.66167E+00
-4.38169E+00,4.66670E+00
-4.38159E+00,4.66411E+00
-4.38149E+00,4.66426E+00
-4.38139E+00,4.66060E+00
-4.38129E+00,4.65816E+00
-4.38119E+00,4.65785E+00
-4.38109E+00,4.66624E+00
-4.38099E+00,4.68242E+00
-4.38089E+00,4.68654E+00
-4.38078E+00,4.66792E+00
-4.38068E+00,4.66197E+00
-4.38058E+00,4.64732E+00
-4.38048E+00,4.65511E+00
-4.38038E+00,4.65358E+00
-4.38028E+00,4.65404E+00
-4.38018E+00,4.65526E+00
-4.38008E+00,4.65556E+00
-4.37998E+00,4.65709E+00
-4.37988E+00,4.65938E+00
-4.37978E+00,4.65434E+00
-4.37968E+00,4.66365E+00
-4.37958E+00,4.66243E+00
-4.37947E+00,4.66716E+00
-4.37937E+00,4.66853E+00
-4.37927E+00,4.66975E+00
-4.37917E+00,4.67067E+00
-4.37907E+00,4.67128E+00
-4.37897E+00,4.67235E+00
-4.37887E+00,4.67052E+00
-4.37877E+00,4.66304E+00
-4.37867E+00,4.66548E+00
-4.37857E+00,4.65144E+00
-4.37847E+00,4.65877E+00
-4.37837E+00,4.66518E+00
-4.37826E+00,4.68044E+00
-4.37816E+00,4.68776E+00
-4.37806E+00,4.67021E+00
-4.37796E+00,4.66151E+00
-4.37786E+00,4.65572E+00
-4.37776E+00,4.64534E+00
-4.37766E+00,4.65236E+00
-4.37756E+00,4.65022E+00
-4.37746E+00,4.65373E+00
-4.37736E+00,4.65480E+00
-4.37726E+00,4.65602E+00
-4.37716E+00,4.65709E+00
-4.37706E+00,4.65785E+00
-4.37695E+00,4.65907E+00
-4.37685E+00,4.66121E+00
-4.37675E+00,4.65953E+00
-4.37665E+00,4.66563E+00
-4.37655E+00,4.65694E+00
-4.37645E+00,4.66731E+00
-4.37635E+00,4.66716E+00
-4.37625E+00,4.66670E+00
-4.37615E+00,4.66655E+00
-4.37605E+00,4.66335E+00
-4.37595E+00,4.66365E+00
-4.37585E+00,4.65953E+00
-4.37574E+00,4.64824E+00
-4.37564E+00,4.66258E+00
-4.37554E+00,4.67815E+00
-4.37544E+00,4.68562E+00
-4.37534E+00,4.66975E+00
-4.37524E+00,4.66014E+00
-4.37514E+00,4.65419E+00
-4.37504E+00,4.65053E+00
-4.37494E+00,4.65205E+00
-4.37484E+00,4.65373E+00
-4.37474E+00,4.64854E+00
-4.37464E+00,4.65343E+00
-4.37454E+00,4.64900E+00
-4.37443E+00,4.65953E+00
-4.37433E+00,4.66151E+00
-4.37423E+00,4.66319E+00
-4.37413E+00,4.66426E+00
-4.37403E+00,4.66426E+00
-4.37393E+00,4.66762E+00
-4.37383E+00,4.66899E+00
-4.37373E+00,4.66304E+00
-4.37363E+00,4.67006E+00
-4.37353E+00,4.67082E+00
-4.37343E+00,4.67067E+00
-4.37333E+00,4.66960E+00
-4.37322E+00,4.66792E+00
-4.37312E+00,4.66457E+00
-4.37302E+00,4.65968E+00
-4.37292E+00,4.66258E+00
-4.37282E+00,4.67540E+00
-4.37272E+00,4.68562E+00
-4.37262E+00,4.67036E+00
-4.37252E+00,4.65770E+00
-4.37242E+00,4.65602E+00
-4.37232E+00,4.65312E+00
-4.37222E+00,4.65251E+00
-4.37212E+00,4.65251E+00
-4.37202E+00,4.65160E+00
-4.37191E+00,4.65419E+00
-4.37181E+00,4.65205E+00
-4.37171E+00,4.65327E+00
-4.37161E+00,4.65785E+00
-4.37151E+00,4.66197E+00
-4.37141E+00,4.66289E+00
-4.37131E+00,4.66457E+00
-4.37121E+00,4.66685E+00
-4.37111E+00,4.66792E+00
-4.37101E+00,4.66792E+00
-4.37091E+00,4.67067E+00
-4.37081E+00,4.66609E+00
-4.37070E+00,4.66777E+00
-4.37060E+00,4.65907E+00
-4.37050E+00,4.66350E+00
-4.37040E+00,4.66182E+00
-4.37030E+00,4.65846E+00
-4.37020E+00,4.65892E+00
-4.37010E+00,4.66853E+00
-4.37000E+00,4.68456E+00
-4.36990E+00,4.68501E+00
-4.36980E+00,4.66289E+00
-4.36970E+00,4.65862E+00
-4.36960E+00,4.65266E+00
-4.36950E+00,4.65282E+00
-4.36939E+00,4.65205E+00
-4.36929E+00,4.65221E+00
-4.36919E+00,4.65358E+00
-4.36909E+00,4.65526E+00
-4.36899E+00,4.65602E+00
-4.36889E+00,4.65785E+00
-4.36879E+00,4.65572E+00
-4.36869E+00,4.66197E+00
-4.36859E+00,4.65404E+00
-4.36849E+00,4.66502E+00
-4.36839E+00,4.66716E+00
-4.36829E+00,4.66777E+00
-4.36818E+00,4.66914E+00
-4.36808E+00,4.66884E+00
-4.36798E+00,4.66914E+00
-4.36788E+00,4.66685E+00
-4.36778E+00,4.65694E+00
-4.36768E+00,4.66106E+00
-4.36758E+00,4.65587E+00
-4.36748E+00,4.65678E+00
-4.36738E+00,4.66457E+00
-4.36728E+00,4.68074E+00
-4.36718E+00,4.68379E+00
-4.36708E+00,4.66823E+00
-4.36698E+00,4.65862E+00
-4.36687E+00,4.65373E+00
-4.36677E+00,4.64671E+00
-4.36667E+00,4.65129E+00
-4.36657E+00,4.64259E+00
-4.36647E+00,4.65266E+00
-4.36637E+00,4.65373E+00
-4.36627E+00,4.65495E+00
-4.36617E+00,4.65709E+00
-4.36607E+00,4.65724E+00
-4.36597E+00,4.66090E+00
-4.36587E+00,4.66304E+00
-4.36577E+00,4.65678E+00
-4.36566E+00,4.66685E+00
-4.36556E+00,4.66518E+00
-4.36546E+00,4.66716E+00
-4.36536E+00,4.66823E+00
-4.36526E+00,4.66869E+00
-4.36516E+00,4.66670E+00
-4.36506E+00,4.66380E+00
-4.36496E+00,4.66182E+00
-4.36486E+00,4.65862E+00
-4.36476E+00,4.65297E+00
-4.36466E+00,4.66472E+00
-4.36456E+00,4.67220E+00
-4.36446E+00,4.68379E+00
-4.36435E+00,4.66838E+00
-4.36425E+00,4.65862E+00
-4.36415E+00,4.65511E+00
-4.36405E+00,4.65175E+00
-4.36395E+00,4.65312E+00
-4.36385E+00,4.65297E+00
-4.36375E+00,4.64519E+00
-4.36365E+00,4.65404E+00
-4.36355E+00,4.65388E+00
-4.36345E+00,4.65862E+00
-4.36335E+00,4.66075E+00
-4.36325E+00,4.66273E+00
-4.36314E+00,4.66411E+00
-4.36304E+00,4.66472E+00
-4.36294E+00,4.66853E+00
-4.36284E+00,4.66945E+00
-4.36274E+00,4.66457E+00
-4.36264E+00,4.66884E+00
-4.36254E+00,4.66136E+00
-4.36244E+00,4.66960E+00
-4.36234E+00,4.66823E+00
-4.36224E+00,4.66533E+00
-4.36214E+00,4.66258E+00
-4.36204E+00,4.65892E+00
-4.36194E+00,4.66380E+00
-4.36183E+00,4.67815E+00
-4.36173E+00,4.68013E+00
-4.36163E+00,4.67220E+00
-4.36153E+00,4.66182E+00
-4.36143E+00,4.65602E+00
-4.36133E+00,4.65388E+00
-4.36123E+00,4.65312E+00
-4.36113E+00,4.65236E+00
-4.36103E+00,4.65236E+00
-4.36093E+00,4.65495E+00
-4.36083E+00,4.65465E+00
-4.36073E+00,4.65358E+00
-4.36062E+00,4.65541E+00
-4.36052E+00,4.65526E+00
-4.36042E+00,4.66289E+00
-4.36032E+00,4.66548E+00
-4.36022E+00,4.66716E+00
-4.36012E+00,4.66731E+00
-4.36002E+00,4.66762E+00
-4.35992E+00,4.67067E+00
-4.35982E+00,4.66792E+00
-4.35972E+00,4.66335E+00
-4.35962E+00,4.66457E+00
-4.35952E+00,4.66396E+00
-4.35942E+00,4.66075E+00
-4.35931E+00,4.65694E+00
-4.35921E+00,4.65938E+00
-4.35911E+00,4.67021E+00
-4.35901E+00,4.68608E+00
-4.35891E+00,4.68318E+00
-4.35881E+00,4.66533E+00
-4.35871E+00,4.65877E+00
-4.35861E+00,4.64870E+00
-4.35851E+00,4.65221E+00
-4.35841E+00,4.65434E+00
-4.35831E+00,4.65373E+00
-4.35821E+00,4.65526E+00
-4.35810E+00,4.65602E+00
-4.35800E+00,4.65633E+00
-4.35790E+00,4.65938E+00
-4.35780E+00,4.65556E+00
-4.35770E+00,4.66029E+00
-4.35760E+00,4.66228E+00
-4.35750E+00,4.66701E+00
-4.35740E+00,4.66930E+00
-4.35730E+00,4.66945E+00
-4.35720E+00,4.67128E+00
-4.35710E+00,4.67113E+00
-4.35700E+00,4.66930E+00
-4.35690E+00,4.66838E+00
-4.35679E+00,4.66273E+00
-4.35669E+00,4.66426E+00
-4.35659E+00,4.65083E+00
-4.35649E+00,4.65892E+00
-4.35639E+00,4.66808E+00
-4.35629E+00,4.68410E+00
-4.35619E+00,4.68562E+00
-4.35609E+00,4.66823E+00
-4.35599E+00,4.66045E+00
-4.35589E+00,4.65556E+00
-4.35579E+00,4.64442E+00
-4.35569E+00,4.65083E+00
-4.35558E+00,4.64946E+00
-4.35548E+00,4.65358E+00
-4.35538E+00,4.65419E+00
-4.35528E+00,4.65617E+00
-4.35518E+00,4.65846E+00
-4.35508E+00,4.65938E+00
-4.35498E+00,4.66106E+00
-4.35488E+00,4.66335E+00
