in s,C1 in V
-9.19923E+00,-5.54352E-02
-9.19903E+00,-5.54352E-02
-9.19883E+00,-5.52826E-02
-9.19862E+00,-5.58929E-02
-9.19842E+00,-5.52826E-02
-9.19822E+00,-5.48248E-02
-9.19802E+00,-5.39093E-02
-9.19782E+00,-5.46722E-02
-9.19762E+00,-5.45197E-02
-9.19741E+00,-5.39093E-02
-9.19721E+00,-5.43671E-02
-9.19701E+00,-5.43671E-02
-9.19681E+00,-5.48248E-02
-9.19661E+00,-5.54352E-02
-9.19641E+00,-5.55878E-02
-9.19620E+00,-5.60455E-02
-9.19600E+00,-5.57404E-02
-9.19580E+00,-5.52826E-02
-9.19560E+00,-5.57404E-02
-9.19540E+00,-5.55878E-02
-9.19520E+00,-5.54352E-02
-9.19500E+00,-5.54352E-02
-9.19479E+00,-5.55878E-02
-9.19459E+00,-5.52826E-02
-9.19439E+00,-5.54352E-02
-9.19419E+00,-5.55878E-02
-9.19399E+00,-5.48248E-02
-9.19379E+00,-5.46722E-02
-9.19358E+00,-5.45197E-02
-9.19338E+00,-5.49774E-02
-9.19318E+00,-5.42145E-02
-9.19298E+00,-5.43671E-02
-9.19278E+00,-5.49774E-02
-9.19258E+00,-5.37567E-02
-9.19237E+00,-5.45197E-02
-9.19217E+00,-5.51300E-02
-9.19197E+00,-5.45197E-02
-9.19177E+00,-5.43671E-02
-9.19157E+00,-5.46722E-02
-9.19137E+00,-5.43671E-02
-9.19116E+00,-5.48248E-02
-9.19096E+00,-5.42145E-02
-9.19076E+00,-5.40619E-02
-9.19056E+00,-5.34515E-02
-9.19036E+00,-5.36041E-02
-9.19016E+00,-5.37567E-02
-9.18996E+00,-5.34515E-02
-9.18975E+00,-5.34515E-02
-9.18955E+00,-5.36041E-02
-9.18935E+00,-5.36041E-02
-9.18915E+00,-5.36041E-02
-9.18895E+00,-5.32990E-02
-9.18875E+00,-5.37567E-02
-9.18854E+00,-5.37567E-02
-9.18834E+00,-5.36041E-02
-9.18814E+00,-5.31464E-02
-9.18794E+00,-5.34515E-02
-9.18774E+00,-5.39093E-02
-9.18754E+00,-5.45197E-02
-9.18733E+00,-5.36041E-02
-9.18713E+00,-5.34515E-02
-9.18693E+00,-5.36041E-02
-9.18673E+00,-5.31464E-02
-9.18653E+00,-5.40619E-02
-9.18633E+00,-5.39093E-02
-9.18612E+00,-5.45197E-02
-9.18592E+00,-5.43671E-02
-9.18572E+00,-5.45197E-02
-9.18552E+00,-5.39093E-02
-9.18532E+00,-5.34515E-02
-9.18512E+00,-5.37567E-02
-9.18492E+00,-5.43671E-02
-9.18471E+00,-5.37567E-02
-9.18451E+00,-5.36041E-02
-9.18431E+00,-5.36041E-02
-9.18411E+00,-5.31464E-02
-9.18391E+00,-5.36041E-02
-9.18371E+00,-5.32990E-02
-9.18350E+00,-5.28412E-02
-9.18330E+00,-5.29938E-02
-9.18310E+00,-5.31464E-02
-9.18290E+00,-5.31464E-02
-9.18270E+00,-5.37567E-02
-9.18250E+00,-5.36041E-02
-9.18229E+00,-5.34515E-02
-9.18209E+00,-5.32990E-02
-9.18189E+00,-5.36041E-02
-9.18169E+00,-5.45197E-02
-9.18149E+00,-5.45197E-02
