------------------------
27/7/2020 9:35:10 msg Discover normal 6 30aea458f354 stats (rx_timestamp=129534240, rssi=-101, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=6, tx_time_on_air=98, tx_counter=25, tx_frequency=868000000)
27/7/2020 9:35:13 msg Discover normal 6 30aea458f354 stats (rx_timestamp=134262257, rssi=-102, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=6, tx_time_on_air=98, tx_counter=26, tx_frequency=868000000)
27/7/2020 9:35:17 msg Discover normal 7 30aea458f354 stats (rx_timestamp=137881272, rssi=-101, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=7, tx_time_on_air=98, tx_counter=27, tx_frequency=868000000)
27/7/2020 9:35:21 msg Discover normal 7 30aea458f354 stats (rx_timestamp=141693283, rssi=-100, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=7, tx_time_on_air=98, tx_counter=28, tx_frequency=868000000)
27/7/2020 9:35:25 msg Discover normal 7 30aea458f354 stats (rx_timestamp=145417290, rssi=-101, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=7, tx_time_on_air=98, tx_counter=29, tx_frequency=868000000)
27/7/2020 9:35:29 msg Discover normal 7 30aea458f354 stats (rx_timestamp=148106316, rssi=-100, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=7, tx_time_on_air=98, tx_counter=30, tx_frequency=868000000)
27/7/2020 9:35:32 msg Discover normal 8 30aea458f354 stats (rx_timestamp=153099308, rssi=-100, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=98, tx_counter=31, tx_frequency=868000000)
27/7/2020 9:35:36 msg Discover normal 8 30aea458f354 stats (rx_timestamp=156915330, rssi=-100, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=98, tx_counter=32, tx_frequency=868000000)
27/7/2020 9:35:40 msg Discover normal 8 30aea458f354 stats (rx_timestamp=161029348, rssi=-99, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=98, tx_counter=33, tx_frequency=868000000)
27/7/2020 9:35:44 msg Discover normal 8 30aea458f354 stats (rx_timestamp=163751345, rssi=-100, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=98, tx_counter=34, tx_frequency=868000000)
27/7/2020 9:35:48 msg Discover normal 9 30aea458f354 stats (rx_timestamp=167498352, rssi=-100, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=9, tx_time_on_air=98, tx_counter=35, tx_frequency=868000000)
27/7/2020 9:35:52 msg Discover normal 9 30aea458f354 stats (rx_timestamp=172107362, rssi=-100, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=9, tx_time_on_air=98, tx_counter=36, tx_frequency=868000000)
27/7/2020 9:35:56 msg Discover normal 9 30aea458f354 stats (rx_timestamp=175303385, rssi=-99, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=9, tx_time_on_air=98, tx_counter=37, tx_frequency=868000000)
27/7/2020 9:36:0 msg Discover normal 9 30aea458f354 stats (rx_timestamp=180336049, rssi=-74, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=9, tx_time_on_air=98, tx_counter=38, tx_frequency=868000000)
27/7/2020 9:36:4 msg Discover normal 10 30aea458f354 stats (rx_timestamp=184874419, rssi=-100, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=10, tx_time_on_air=98, tx_counter=39, tx_frequency=868000000)
27/7/2020 9:36:8 msg Discover normal 10 30aea458f354 stats (rx_timestamp=187779066, rssi=-123, snr=-7.0, sfrx=7, sftx=7, tx_trials=0, tx_power=10, tx_time_on_air=98, tx_counter=40, tx_frequency=868000000)
27/7/2020 9:36:12 msg Discover normal 10 30aea458f354 stats (rx_timestamp=191663026, rssi=-78, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=10, tx_time_on_air=98, tx_counter=41, tx_frequency=868000000)
27/7/2020 9:36:16 msg Discover normal 10 30aea458f354 stats (rx_timestamp=195652447, rssi=-99, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=10, tx_time_on_air=98, tx_counter=42, tx_frequency=868000000)
27/7/2020 9:36:21 msg Discover normal 11 30aea458f354 stats (rx_timestamp=202239908, rssi=-77, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=11, tx_time_on_air=98, tx_counter=43, tx_frequency=868000000)
27/7/2020 9:36:25 msg Discover normal 11 30aea458f354 stats (rx_timestamp=205019142, rssi=-121, snr=-5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=11, tx_time_on_air=98, tx_counter=44, tx_frequency=868000000)
27/7/2020 9:36:28 msg Discover normal 11 30aea458f354 stats (rx_timestamp=208010471, rssi=-100, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=11, tx_time_on_air=98, tx_counter=45, tx_frequency=868000000)
27/7/2020 9:36:32 msg Discover normal 11 30aea458f354 stats (rx_timestamp=212393173, rssi=-122, snr=-6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=11, tx_time_on_air=98, tx_counter=46, tx_frequency=868000000)
27/7/2020 9:36:36 msg Discover normal 12 30aea458f354 stats (rx_timestamp=216488508, rssi=-100, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=12, tx_time_on_air=98, tx_counter=47, tx_frequency=868000000)
27/7/2020 9:36:40 msg Discover normal 12 30aea458f354 stats (rx_timestamp=220670515, rssi=-100, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=12, tx_time_on_air=98, tx_counter=48, tx_frequency=868000000)
27/7/2020 9:36:45 msg Discover normal 12 30aea458f354 stats (rx_timestamp=224996515, rssi=-100, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=12, tx_time_on_air=98, tx_counter=49, tx_frequency=868000000)
27/7/2020 9:36:49 msg Discover normal 12 30aea458f354 stats (rx_timestamp=229306237, rssi=-121, snr=-5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=12, tx_time_on_air=98, tx_counter=50, tx_frequency=868000000)
27/7/2020 9:36:52 msg Discover normal 13 30aea458f354 stats (rx_timestamp=232964253, rssi=-119, snr=-3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=13, tx_time_on_air=98, tx_counter=51, tx_frequency=868000000)
