------------------------
------------------------
20/8/2020 9:31:50 msg Hello 13 3c71bf875fa8 stats (rx_timestamp=2512012317, rssi=-119, snr=-5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=13, tx_time_on_air=98, tx_counter=1100, tx_frequency=868000000)
20/8/2020 9:31:52 msg Hello 13 30aea474cbcc stats (rx_timestamp=2514516301, rssi=-121, snr=-7.0, sfrx=7, sftx=7, tx_trials=0, tx_power=13, tx_time_on_air=98, tx_counter=1101, tx_frequency=868000000)
20/8/2020 9:31:54 msg Hello 13 3c71bf875fa8 stats (rx_timestamp=2516174321, rssi=-120, snr=-6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=13, tx_time_on_air=98, tx_counter=1101, tx_frequency=868000000)
20/8/2020 9:31:56 msg Hello 13 30aea474cbcc stats (rx_timestamp=2518563310, rssi=-120, snr=-6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=13, tx_time_on_air=98, tx_counter=1102, tx_frequency=868000000)
20/8/2020 9:32:0 msg Hello 13 30aea474cbcc stats (rx_timestamp=2522280317, rssi=-121, snr=-7.0, sfrx=7, sftx=7, tx_trials=0, tx_power=13, tx_time_on_air=98, tx_counter=1103, tx_frequency=868000000)
20/8/2020 9:32:2 msg Hello 13 3c71bf875fa8 stats (rx_timestamp=2524123337, rssi=-120, snr=-6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=13, tx_time_on_air=98, tx_counter=1103, tx_frequency=868000000)
20/8/2020 9:33:9 msg Discover normal 6 3c71bf875fa8 stats (rx_timestamp=2591437797, rssi=-122, snr=-8.0, sfrx=7, sftx=7, tx_trials=0, tx_power=12, tx_time_on_air=83, tx_counter=1115, tx_frequency=868000000)
20/8/2020 9:33:16 msg Discover normal 7 3c71bf875fa8 stats (rx_timestamp=2598086808, rssi=-121, snr=-7.0, sfrx=7, sftx=7, tx_trials=0, tx_power=12, tx_time_on_air=83, tx_counter=1115, tx_frequency=868000000)
20/8/2020 9:33:19 msg Discover normal 7 3c71bf875fa8 stats (rx_timestamp=2601238812, rssi=-122, snr=-8.0, sfrx=7, sftx=7, tx_trials=0, tx_power=7, tx_time_on_air=83, tx_counter=1116, tx_frequency=868000000)
20/8/2020 9:33:23 msg Discover normal 7 3c71bf875fa8 stats (rx_timestamp=2604643814, rssi=-121, snr=-7.0, sfrx=7, sftx=7, tx_trials=0, tx_power=7, tx_time_on_air=83, tx_counter=1117, tx_frequency=868000000)
20/8/2020 9:33:25 msg Discover normal 7 3c71bf875fa8 stats (rx_timestamp=2607550824, rssi=-122, snr=-8.0, sfrx=7, sftx=7, tx_trials=0, tx_power=7, tx_time_on_air=83, tx_counter=1118, tx_frequency=868000000)
20/8/2020 9:33:29 msg Discover normal 8 3c71bf875fa8 stats (rx_timestamp=2610698823, rssi=-121, snr=-7.0, sfrx=7, sftx=7, tx_trials=0, tx_power=7, tx_time_on_air=83, tx_counter=1119, tx_frequency=868000000)
20/8/2020 9:33:32 msg Discover normal 8 3c71bf875fa8 stats (rx_timestamp=2614307837, rssi=-121, snr=-7.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=83, tx_counter=1120, tx_frequency=868000000)
20/8/2020 9:33:35 msg Discover normal 8 3c71bf875fa8 stats (rx_timestamp=2617440839, rssi=-120, snr=-6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=83, tx_counter=1121, tx_frequency=868000000)
20/8/2020 9:33:39 msg Discover normal 8 3c71bf875fa8 stats (rx_timestamp=2620981841, rssi=-121, snr=-7.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=83, tx_counter=1122, tx_frequency=868000000)
20/8/2020 9:33:42 msg Discover next 9 0 stats (rx_timestamp=2624320352, rssi=-113, snr=-1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=83, tx_counter=1123, tx_frequency=868000000)
20/8/2020 9:33:51 msg Hello 2 3c71bf875fa8 stats (rx_timestamp=2632949496, rssi=-118, snr=-5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=83, tx_counter=1123, tx_frequency=868000000)
20/8/2020 9:33:52 msg Hello 2 3c71bf875fa8 stats (rx_timestamp=2634566502, rssi=-120, snr=-6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=83, tx_counter=1123, tx_frequency=868000000)
20/8/2020 9:34:0 msg Hello 3 3c71bf875fa8 stats (rx_timestamp=2641652519, rssi=-119, snr=-6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=83, tx_counter=1123, tx_frequency=868000000)
20/8/2020 9:34:4 msg Hello 3 3c71bf875fa8 stats (rx_timestamp=2646021516, rssi=-120, snr=-6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=83, tx_counter=1123, tx_frequency=868000000)
20/8/2020 9:34:6 msg Hello 3 3c71bf875fa8 stats (rx_timestamp=2648413524, rssi=-118, snr=-5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=83, tx_counter=1123, tx_frequency=868000000)
20/8/2020 9:34:11 msg Hello 3 3c71bf875fa8 stats (rx_timestamp=2652999533, rssi=-118, snr=-5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=83, tx_counter=1123, tx_frequency=868000000)
20/8/2020 9:34:16 msg Hello 4 3c71bf875fa8 stats (rx_timestamp=2658366489, rssi=-119, snr=-6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=83, tx_counter=1123, tx_frequency=868000000)
20/8/2020 9:34:20 msg Hello 4 3c71bf875fa8 stats (rx_timestamp=2661880496, rssi=-120, snr=-6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=83, tx_counter=1123, tx_frequency=868000000)
20/8/2020 9:34:26 msg Hello 5 3c71bf875fa8 stats (rx_timestamp=2668422510, rssi=-118, snr=-5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=83, tx_counter=1123, tx_frequency=868000000)
20/8/2020 9:34:31 msg Hello 5 3c71bf875fa8 stats (rx_timestamp=2673005515, rssi=-120, snr=-6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=83, tx_counter=1123, tx_frequency=868000000)
20/8/2020 9:34:38 msg Hello 5 3c71bf875fa8 stats (rx_timestamp=2679744526, rssi=-119, snr=-6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=83, tx_counter=1123, tx_frequency=868000000)
20/8/2020 9:34:40 msg Hello 6 3c71bf875fa8 stats (rx_timestamp=2681951528, rssi=-119, snr=-6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=83, tx_counter=1123, tx_frequency=868000000)
20/8/2020 9:34:44 msg Hello 6 3c71bf875fa8 stats (rx_timestamp=2686378539, rssi=-119, snr=-6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=83, tx_counter=1123, tx_frequency=868000000)
20/8/2020 9:34:47 msg Hello 6 3c71bf875fa8 stats (rx_timestamp=2688943538, rssi=-120, snr=-6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=83, tx_counter=1123, tx_frequency=868000000)
20/8/2020 9:34:51 msg Hello 6 3c71bf875fa8 stats (rx_timestamp=2693189546, rssi=-118, snr=-5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=83, tx_counter=1123, tx_frequency=868000000)
20/8/2020 9:34:53 msg Hello 7 3c71bf875fa8 stats (rx_timestamp=2695591556, rssi=-120, snr=-6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=83, tx_counter=1123, tx_frequency=868000000)
20/8/2020 9:34:58 msg Hello 7 3c71bf875fa8 stats (rx_timestamp=2700022561, rssi=-119, snr=-6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=83, tx_counter=1123, tx_frequency=868000000)
20/8/2020 9:35:1 msg Hello 7 3c71bf875fa8 stats (rx_timestamp=2703601570, rssi=-118, snr=-5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=83, tx_counter=1123, tx_frequency=868000000)
20/8/2020 9:35:5 msg Hello 7 3c71bf875fa8 stats (rx_timestamp=2707008573, rssi=-118, snr=-5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=83, tx_counter=1123, tx_frequency=868000000)
20/8/2020 9:35:7 msg Hello 8 3c71bf875fa8 stats (rx_timestamp=2709411578, rssi=-119, snr=-6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=83, tx_counter=1123, tx_frequency=868000000)
20/8/2020 9:35:11 msg Hello 8 3c71bf875fa8 stats (rx_timestamp=2712844582, rssi=-119, snr=-6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=83, tx_counter=1123, tx_frequency=868000000)
20/8/2020 9:35:14 msg Hello 8 3c71bf875fa8 stats (rx_timestamp=2716410594, rssi=-119, snr=-5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=83, tx_counter=1123, tx_frequency=868000000)
20/8/2020 9:35:18 msg Hello 8 3c71bf875fa8 stats (rx_timestamp=2719624592, rssi=-120, snr=-6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=83, tx_counter=1123, tx_frequency=868000000)
20/8/2020 9:35:21 msg Hello 9 3c71bf875fa8 stats (rx_timestamp=2723208600, rssi=-119, snr=-5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=83, tx_counter=1123, tx_frequency=868000000)
20/8/2020 9:35:29 msg Hello 9 3c71bf875fa8 stats (rx_timestamp=2730722610, rssi=-120, snr=-6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=83, tx_counter=1123, tx_frequency=868000000)
20/8/2020 9:35:32 msg Hello 9 3c71bf875fa8 stats (rx_timestamp=2734109617, rssi=-119, snr=-5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=83, tx_counter=1123, tx_frequency=868000000)
20/8/2020 9:35:38 msg Hello 10 3c71bf875fa8 stats (rx_timestamp=2739661690, rssi=-119, snr=-6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=83, tx_counter=1123, tx_frequency=868000000)
20/8/2020 9:35:42 msg Hello 10 3c71bf875fa8 stats (rx_timestamp=2744128703, rssi=-119, snr=-5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=83, tx_counter=1123, tx_frequency=868000000)
20/8/2020 9:35:45 msg Hello 10 3c71bf875fa8 stats (rx_timestamp=2747467706, rssi=-119, snr=-5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=83, tx_counter=1123, tx_frequency=868000000)
20/8/2020 9:35:48 msg Hello 11 3c71bf875fa8 stats (rx_timestamp=2749856710, rssi=-120, snr=-6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=83, tx_counter=1123, tx_frequency=868000000)
20/8/2020 9:35:50 msg Discover normal 11 30aea474cbcc stats (rx_timestamp=2752565100, rssi=-123, snr=-9.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=83, tx_counter=1123, tx_frequency=868000000)
20/8/2020 9:35:51 msg Hello 11 3c71bf875fa8 stats (rx_timestamp=2753249715, rssi=-120, snr=-6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=83, tx_counter=1123, tx_frequency=868000000)
20/8/2020 9:35:55 msg Hello 11 3c71bf875fa8 stats (rx_timestamp=2756813721, rssi=-119, snr=-6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=83, tx_counter=1123, tx_frequency=868000000)
20/8/2020 9:35:57 msg Discover normal 12 30aea474cbcc stats (rx_timestamp=2759503107, rssi=-121, snr=-7.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=83, tx_counter=1123, tx_frequency=868000000)
20/8/2020 9:35:58 msg Hello 11 3c71bf875fa8 stats (rx_timestamp=2760358726, rssi=-120, snr=-6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=12, tx_time_on_air=83, tx_counter=1123, tx_frequency=868000000)
20/8/2020 9:36:1 msg Discover normal 12 30aea474cbcc stats (rx_timestamp=2763104117, rssi=-121, snr=-7.0, sfrx=7, sftx=7, tx_trials=0, tx_power=12, tx_time_on_air=83, tx_counter=1124, tx_frequency=868000000)
20/8/2020 9:36:2 msg Hello 12 3c71bf875fa8 stats (rx_timestamp=2764199727, rssi=-120, snr=-6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=12, tx_time_on_air=83, tx_counter=1124, tx_frequency=868000000)
20/8/2020 9:36:5 msg Discover normal 12 30aea474cbcc stats (rx_timestamp=2766700119, rssi=-122, snr=-8.0, sfrx=7, sftx=7, tx_trials=0, tx_power=12, tx_time_on_air=83, tx_counter=1125, tx_frequency=868000000)
20/8/2020 9:36:6 msg Hello 12 3c71bf875fa8 stats (rx_timestamp=2767784738, rssi=-119, snr=-5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=12, tx_time_on_air=83, tx_counter=1125, tx_frequency=868000000)
20/8/2020 9:36:8 msg Hello 12 3c71bf875fa8 stats (rx_timestamp=2770161738, rssi=-119, snr=-6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=12, tx_time_on_air=83, tx_counter=1126, tx_frequency=868000000)
20/8/2020 9:36:9 msg Discover normal 12 30aea474cbcc stats (rx_timestamp=2770599145, rssi=-122, snr=-8.0, sfrx=7, sftx=7, tx_trials=0, tx_power=12, tx_time_on_air=83, tx_counter=1126, tx_frequency=868000000)
