in s,C2 in V
-6.01957E+00,7.28333E-02
-6.01947E+00,8.16833E-02
-6.01936E+00,8.96179E-02
-6.01926E+00,8.62610E-02
-6.01916E+00,8.71765E-02
-6.01906E+00,8.99231E-02
-6.01896E+00,8.90076E-02
-6.01886E+00,7.55798E-02
-6.01876E+00,6.36780E-02
-6.01866E+00,8.80920E-02
-6.01856E+00,8.83972E-02
-6.01846E+00,9.60266E-02
-6.01836E+00,9.63318E-02
-6.01826E+00,7.55798E-02
-6.01815E+00,8.47351E-02
-6.01805E+00,9.32800E-02
-6.01795E+00,8.44299E-02
-6.01785E+00,8.47351E-02
-6.01775E+00,8.16833E-02
-6.01765E+00,8.90076E-02
-6.01755E+00,7.52747E-02
-6.01745E+00,9.17542E-02
-6.01735E+00,9.14490E-02
-6.01725E+00,8.99231E-02
-6.01715E+00,7.49695E-02
-6.01705E+00,8.56506E-02
-6.01695E+00,8.22937E-02
-6.01684E+00,7.37488E-02
-6.01674E+00,9.38904E-02
-6.01664E+00,8.10730E-02
-6.01654E+00,8.99231E-02
-6.01644E+00,8.90076E-02
-6.01634E+00,8.13782E-02
-6.01624E+00,7.49695E-02
-6.01614E+00,8.47351E-02
-6.01604E+00,8.68713E-02
-6.01594E+00,8.47351E-02
-6.01584E+00,9.96887E-02
-6.01574E+00,8.65662E-02
-6.01563E+00,9.11438E-02
-6.01553E+00,7.52747E-02
-6.01543E+00,8.96179E-02
-6.01533E+00,8.74817E-02
-6.01523E+00,7.64954E-02
-6.01513E+00,7.83264E-02
-6.01503E+00,8.19885E-02
-6.01493E+00,8.13782E-02
-6.01483E+00,7.06970E-02
-6.01473E+00,8.74817E-02
-6.01463E+00,8.16833E-02
-6.01453E+00,8.68713E-02
-6.01443E+00,6.85608E-02
-6.01432E+00,7.77161E-02
-6.01422E+00,7.28333E-02
-6.01412E+00,8.19885E-02
-6.01402E+00,8.83972E-02
-6.01392E+00,1.02435E-01
-6.01382E+00,7.95471E-02
-6.01372E+00,7.77161E-02
-6.01362E+00,7.43591E-02
-6.01352E+00,8.62610E-02
-6.01342E+00,8.22937E-02
-6.01332E+00,8.96179E-02
-6.01322E+00,8.44299E-02
-6.01311E+00,9.54163E-02
-6.01301E+00,9.78577E-02
-6.01291E+00,9.57214E-02
-6.01281E+00,7.71057E-02
-6.01271E+00,8.29041E-02
-6.01261E+00,8.65662E-02
-6.01251E+00,9.84680E-02
-6.01241E+00,8.77869E-02
-6.01231E+00,9.23645E-02
-6.01221E+00,8.50403E-02
-6.01211E+00,8.19885E-02
-6.01201E+00,8.10730E-02
-6.01191E+00,6.58142E-02
-6.01180E+00,8.59558E-02
-6.01170E+00,8.74817E-02
-6.01160E+00,8.90076E-02
-6.01150E+00,8.01575E-02
-6.01140E+00,7.77161E-02
-6.01130E+00,9.48059E-02
-6.01120E+00,9.02283E-02
-6.01110E+00,9.11438E-02
-6.01100E+00,8.77869E-02
-6.01090E+00,9.51111E-02
-6.01080E+00,8.47351E-02
-6.01070E+00,8.07678E-02
-6.01059E+00,8.62610E-02
-6.01049E+00,9.45007E-02
-6.01039E+00,9.14490E-02
-6.01029E+00,9.05334E-02
-6.01019E+00,8.13782E-02
-6.01009E+00,8.13782E-02
-6.00999E+00,9.35852E-02
-6.00989E+00,8.32092E-02
-6.00979E+00,8.29041E-02
-6.00969E+00,8.01575E-02
-6.00959E+00,7.74109E-02
-6.00949E+00,9.02283E-02
-6.00939E+00,1.03656E-01
-6.00928E+00,9.35852E-02
-6.00918E+00,7.74109E-02
-6.00908E+00,8.32092E-02
-6.00898E+00,8.19885E-02
-6.00888E+00,9.81628E-02
-6.00878E+00,8.32092E-02
-6.00868E+00,8.32092E-02
-6.00858E+00,8.56506E-02
-6.00848E+00,7.64954E-02
-6.00838E+00,9.69421E-02
-6.00828E+00,7.68005E-02
-6.00818E+00,8.22937E-02
-6.00807E+00,8.10730E-02
-6.00797E+00,9.17542E-02
-6.00787E+00,1.03961E-01
-6.00777E+00,9.08386E-02
-6.00767E+00,8.65662E-02
-6.00757E+00,8.74817E-02
-6.00747E+00,7.43591E-02
-6.00737E+00,8.22937E-02
-6.00727E+00,7.95471E-02
-6.00717E+00,9.69421E-02
-6.00707E+00,8.25989E-02
-6.00697E+00,8.13782E-02
-6.00687E+00,7.34436E-02
-6.00676E+00,7.28333E-02
-6.00666E+00,7.34436E-02
-6.00656E+00,9.38904E-02
-6.00646E+00,9.35852E-02
-6.00636E+00,7.10022E-02
-6.00626E+00,8.04626E-02
-6.00616E+00,9.26697E-02
-6.00606E+00,9.57214E-02
-6.00596E+00,8.13782E-02
-6.00586E+00,7.98523E-02
-6.00576E+00,8.10730E-02
-6.00566E+00,8.68713E-02
-6.00555E+00,8.41248E-02
-6.00545E+00,7.68005E-02
-6.00535E+00,8.35144E-02
-6.00525E+00,7.86316E-02
-6.00515E+00,7.55798E-02
-6.00505E+00,8.53455E-02
-6.00495E+00,9.14490E-02
