y=868000000)
27/7/2020 20:18:48 msg Discover next 12 2 stats (rx_timestamp=3470488960, rssi=-113, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=124, tx_counter=165, tx_frequency=868000000)
27/7/2020 20:18:54 msg Discover next 12 2 stats (rx_timestamp=3476101920, rssi=-112, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=124, tx_counter=165, tx_frequency=868000000)
27/7/2020 20:19:0 msg Discover next 12 2 stats (rx_timestamp=3481917888, rssi=-113, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=124, tx_counter=165, tx_frequency=868000000)
27/7/2020 20:19:5 msg Discover next 12 2 stats (rx_timestamp=3487561856, rssi=-113, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=124, tx_counter=165, tx_frequency=868000000)
27/7/2020 20:19:11 msg Discover next 12 2 stats (rx_timestamp=3493139825, rssi=-113, snr=1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=124, tx_counter=165, tx_frequency=868000000)
27/7/2020 20:19:16 msg Discover next 12 2 stats (rx_timestamp=3498729793, rssi=-113, snr=1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=124, tx_counter=165, tx_frequency=868000000)
27/7/2020 20:19:22 msg Discover next 12 2 stats (rx_timestamp=3504309760, rssi=-113, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=124, tx_counter=165, tx_frequency=868000000)
27/7/2020 20:19:28 msg Discover next 12 2 stats (rx_timestamp=3509897729, rssi=-113, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=124, tx_counter=165, tx_frequency=868000000)
27/7/2020 20:19:33 msg Discover next 12 2 stats (rx_timestamp=3515473697, rssi=-113, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=124, tx_counter=165, tx_frequency=868000000)
27/7/2020 20:19:39 msg Discover next 12 2 stats (rx_timestamp=3521128663, rssi=-112, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=124, tx_counter=165, tx_frequency=868000000)
27/7/2020 20:19:44 msg Discover next 12 2 stats (rx_timestamp=3526730632, rssi=-112, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=124, tx_counter=165, tx_frequency=868000000)
27/7/2020 20:19:50 msg Discover next 12 2 stats (rx_timestamp=3532329602, rssi=-113, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=124, tx_counter=165, tx_frequency=868000000)
27/7/2020 20:19:56 msg Discover next 12 2 stats (rx_timestamp=3538113560, rssi=-112, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=124, tx_counter=165, tx_frequency=868000000)
27/7/2020 20:20:1 msg Discover next 12 2 stats (rx_timestamp=3543695538, rssi=-113, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=124, tx_counter=165, tx_frequency=868000000)
27/7/2020 20:20:7 msg Discover next 12 2 stats (rx_timestamp=3549264497, rssi=-113, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=124, tx_counter=165, tx_frequency=868000000)
27/7/2020 20:20:13 msg Discover next 12 2 stats (rx_timestamp=3554840464, rssi=-113, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=124, tx_counter=165, tx_frequency=868000000)
27/7/2020 20:20:18 msg Discover next 12 2 stats (rx_timestamp=3560449436, rssi=-113, snr=1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=124, tx_counter=165, tx_frequency=868000000)
27/7/2020 20:20:24 msg Discover next 12 2 stats (rx_timestamp=3566072403, rssi=-112, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=124, tx_counter=165, tx_frequency=868000000)
27/7/2020 20:20:29 msg Discover next 12 2 stats (rx_timestamp=3571727376, rssi=-112, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=124, tx_counter=165, tx_frequency=868000000)
27/7/2020 20:20:35 msg Discover next 12 2 stats (rx_timestamp=3577317345, rssi=-113, snr=1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=124, tx_counter=165, tx_frequency=868000000)
27/7/2020 20:20:41 msg Discover next 12 2 stats (rx_timestamp=3582909313, rssi=-113, snr=1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=124, tx_counter=165, tx_frequency=868000000)
27/7/2020 20:20:46 msg Discover next 12 2 stats (rx_timestamp=3588504273, rssi=-113, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=124, tx_counter=165, tx_frequency=868000000)
27/7/2020 20:20:52 msg Discover next 12 2 stats (rx_timestamp=3594087244, rssi=-112, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=124, tx_counter=165, tx_frequency=868000000)
27/7/2020 20:20:58 msg Discover next 12 2 stats (rx_timestamp=3599938215, rssi=-113, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=124, tx_counter=165, tx_frequency=868000000)
27/7/2020 20:21:3 msg Discover next 12 2 stats (rx_timestamp=3605596176, rssi=-112, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=124, tx_counter=165, tx_frequency=868000000)
27/7/2020 20:21:9 msg Discover next 12 2 stats (rx_timestamp=3611256143, rssi=-113, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=124, tx_counter=165, tx_frequency=868000000)
27/7/2020 20:21:15 msg Discover next 12 2 stats (rx_timestamp=3616909112, rssi=-113, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=124, tx_counter=165, tx_frequency=868000000)
27/7/2020 20:21:20 msg Discover next 12 2 stats (rx_timestamp=3622500082, rssi=-113, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=124, tx_counter=165, tx_frequency=868000000)
27/7/2020 20:21:26 msg Discover next 12 2 stats (rx_timestamp=3628156049, rssi=-113, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=124, tx_counter=165, tx_frequency=868000000)
27/7/2020 20:21:32 msg Discover next 12 2 stats (rx_timestamp=3633784011, rssi=-113, snr=1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=124, tx_counter=165, tx_frequency=868000000)
27/7/2020 20:21:37 msg Discover next 12 2 stats (rx_timestamp=3639431989, rssi=-113, snr=1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=124, tx_counter=165, tx_frequency=868000000)
27/7/2020 20:21:43 msg Discover next 12 2 stats (rx_timestamp=3645039955, rssi=-113, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=124, tx_counter=165, tx_frequency=868000000)
27/7/2020 20:21:48 msg Discover next 12 2 stats (rx_timestamp=3650676928, rssi=-112, snr=3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=124, tx_counter=165, tx_frequency=868000000)
27/7/2020 20:21:54 msg Discover next 12 2 stats (rx_timestamp=3656498889, rssi=-113, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=124, tx_counter=165, tx_frequency=868000000)
27/7/2020 20:22:0 msg Discover next 12 2 stats (rx_timestamp=3662078859, rssi=-113, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=124, tx_counter=165, tx_frequency=868000000)
27/7/2020 20:22:5 msg Discover next 12 2 stats (rx_timestamp=3667698818, rssi=-112, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=124, tx_counter=165, tx_frequency=868000000)
27/7/2020 20:22:11 msg Discover next 12 2 stats (rx_timestamp=3673234786, rssi=-113, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=124, tx_counter=165, tx_frequency=868000000)
27/7/2020 20:22:17 msg Discover next 12 2 stats (rx_timestamp=3678812753, rssi=-113, snr=1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=124, tx_counter=165, tx_frequency=868000000)
27/7/2020 20:22:22 msg Discover next 12 2 stats (rx_timestamp=3684463728, rssi=-113, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=124, tx_counter=165, tx_frequency=868000000)
27/7/2020 20:22:28 msg Discover next 12 2 stats (rx_timestamp=3690069689, rssi=-113, snr=1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=124, tx_counter=165, tx_frequency=868000000)
27/7/2020 20:22:33 msg Discover next 12 2 stats (rx_timestamp=3695693664, rssi=-113, snr=1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=124, tx_counter=165, tx_frequency=868000000)
27/7/2020 20:22:39 msg Discover next 12 2 stats (rx_timestamp=3701274625, rssi=-113, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=124, tx_counter=165, tx_frequency=868000000)
27/7/2020 20:22:45 msg Discover next 12 2 stats (rx_timestamp=3706838601, rssi=-114, snr=1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=124, tx_counter=165, tx_frequency=868000000)
27/7/2020 20:22:50 msg Discover next 12 2 stats (rx_timestamp=3712629556, rssi=-114, snr=1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=124, tx_counter=165, tx_frequency=868000000)
27/7/2020 20:22:56 msg Discover next 12 2 stats (rx_timestamp=3718230528, rssi=-113, snr=1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=124, tx_counter=165, tx_frequency=868000000)
27/7/2020 20:23:2 msg Discover next 12 2 stats (rx_timestamp=3723827496, rssi=-114, snr=1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=124, tx_counter=165, tx_frequency=868000000)
27/7/2020 20:23:7 msg Discover next 12 2 stats (rx_timestamp=3729404463, rssi=-114, snr=0.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=124, tx_counter=165, tx_frequency=868000000)
27/7/2020 20:23:13 msg Discover next 12 2 stats (rx_timestamp=3735021428, rssi=-114, snr=1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=124, tx_counter=165, tx_frequency=868000000)
27/7/2020 20:23:18 msg Discover next 12 2 stats (rx_timestamp=3740663402, rssi=-114, snr=1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=124, tx_counter=165, tx_frequency=868000000)
27/7/2020 20:23:24 msg Discover next 12 2 stats (rx_timestamp=3746309364, rssi=-113, snr=1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=124, tx_counter=165, tx_frequency=868000000)
27/7/2020 20:23:30 msg Discover next 12 2 stats (rx_timestamp=3751920336, rssi=-113, snr=1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=124, tx_counter=165, tx_frequency=868000000)
27/7/2020 20:23:35 msg Discover next 12 2 stats (rx_timestamp=3757576303, rssi=-114, snr=1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=124, tx_counter=165, tx_frequency=868000000)
27/7/2020 20:23:41 msg Discover next 12 2 stats (rx_timestamp=3763180263, rssi=-114, snr=1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=124, tx_counter=165, tx_frequency=868000000)
27/7/2020 20:23:47 msg Discover next 12 2 stats (rx_timestamp=3768817238, rssi=-113, snr=1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=124, tx_counter=165, tx_frequency=868000000)
27/7/2020 20:23:52 msg Discover next 12 2 stats (rx_timestamp=3774654203, rssi=-113, snr=1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=124, tx_counter=165, tx_frequency=868000000)
27/7/2020 20:23:58 msg Discover next 12 2 stats (rx_timestamp=3780306168, rssi=-113, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=124, tx_counter=165, tx_frequency=868000000)
27/7/2020 20:24:4 msg Discover next 12 2 stats (rx_timestamp=3785957136, rssi=-113, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=124, tx_counter=165, tx_frequency=868000000)
27/7/2020 20:24:9 msg Discover next 12 2 stats (rx_timestamp=3791604107, rssi=-113, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=124, tx_counter=165, tx_frequency=868000000)
27/7/2020 20:24:15 msg Discover next 12 2 stats (rx_timestamp=3797258080, rssi=-113, snr=1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=124, tx_counter=165, tx_frequency=868000000)
