------------------------
------------------------
------------------------
29/7/2020 11:36:7 msg Hello 8 3c71bf875fa8 stats (rx_timestamp=129164550, rssi=-119, snr=-3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=98, tx_counter=29, tx_frequency=868000000)
29/7/2020 11:36:10 msg Hello 8 3c71bf875fa8 stats (rx_timestamp=132239559, rssi=-119, snr=-3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=98, tx_counter=30, tx_frequency=868000000)
29/7/2020 11:36:16 msg Hello 8 3c71bf875fa8 stats (rx_timestamp=138195552, rssi=-118, snr=-3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=98, tx_counter=32, tx_frequency=868000000)
29/7/2020 11:36:21 msg Hello 9 3c71bf875fa8 stats (rx_timestamp=143138549, rssi=-120, snr=-4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=9, tx_time_on_air=98, tx_counter=34, tx_frequency=868000000)
29/7/2020 11:36:21 msg Hello 9 30aea474cbcc stats (rx_timestamp=143552198, rssi=-121, snr=-4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=9, tx_time_on_air=98, tx_counter=34, tx_frequency=868000000)
29/7/2020 11:36:25 msg Hello 9 3c71bf875fa8 stats (rx_timestamp=147427545, rssi=-121, snr=-4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=9, tx_time_on_air=98, tx_counter=35, tx_frequency=868000000)
29/7/2020 11:36:29 msg Hello 9 3c71bf875fa8 stats (rx_timestamp=150677552, rssi=-119, snr=-3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=9, tx_time_on_air=98, tx_counter=36, tx_frequency=868000000)
29/7/2020 11:36:31 msg Hello 10 3c71bf875fa8 stats (rx_timestamp=153011608, rssi=-119, snr=-3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=10, tx_time_on_air=98, tx_counter=37, tx_frequency=868000000)
29/7/2020 11:36:34 msg Hello 10 30aea474cbcc stats (rx_timestamp=155738255, rssi=-120, snr=-3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=10, tx_time_on_air=98, tx_counter=38, tx_frequency=868000000)
29/7/2020 11:36:35 msg Hello 10 3c71bf875fa8 stats (rx_timestamp=157114607, rssi=-121, snr=-4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=10, tx_time_on_air=98, tx_counter=38, tx_frequency=868000000)
29/7/2020 11:36:41 msg Hello 10 3c71bf875fa8 stats (rx_timestamp=163084612, rssi=-120, snr=-4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=10, tx_time_on_air=98, tx_counter=40, tx_frequency=868000000)
29/7/2020 11:36:41 msg Hello 10 30aea474cbcc stats (rx_timestamp=163525250, rssi=-117, snr=-1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=10, tx_time_on_air=98, tx_counter=40, tx_frequency=868000000)
29/7/2020 11:36:45 msg Hello 11 3c71bf875fa8 stats (rx_timestamp=166627606, rssi=-118, snr=-2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=11, tx_time_on_air=98, tx_counter=41, tx_frequency=868000000)
29/7/2020 11:36:45 msg Hello 11 30aea474cbcc stats (rx_timestamp=167062242, rssi=-115, snr=-0.0, sfrx=7, sftx=7, tx_trials=0, tx_power=11, tx_time_on_air=98, tx_counter=41, tx_frequency=868000000)
29/7/2020 11:36:47 msg Hello 11 3c71bf875fa8 stats (rx_timestamp=168722608, rssi=-119, snr=-3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=11, tx_time_on_air=98, tx_counter=42, tx_frequency=868000000)
29/7/2020 11:36:48 msg Hello 11 30aea474cbcc stats (rx_timestamp=170160238, rssi=-116, snr=-1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=11, tx_time_on_air=98, tx_counter=42, tx_frequency=868000000)
29/7/2020 11:36:51 msg Hello 11 3c71bf875fa8 stats (rx_timestamp=173196611, rssi=-122, snr=-5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=11, tx_time_on_air=98, tx_counter=43, tx_frequency=868000000)
29/7/2020 11:36:57 msg Hello 12 3c71bf875fa8 stats (rx_timestamp=179160603, rssi=-121, snr=-4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=12, tx_time_on_air=98, tx_counter=45, tx_frequency=868000000)
29/7/2020 11:36:57 msg Hello 12 30aea474cbcc stats (rx_timestamp=179586228, rssi=-114, snr=0.0, sfrx=7, sftx=7, tx_trials=0, tx_power=12, tx_time_on_air=98, tx_counter=45, tx_frequency=868000000)
29/7/2020 11:37:1 msg Hello 12 3c71bf875fa8 stats (rx_timestamp=182622603, rssi=-119, snr=-3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=12, tx_time_on_air=98, tx_counter=46, tx_frequency=868000000)
