0, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=3, tx_frequency=868000000)
29/7/2020 11:34:2 msg Hay buena cobertura con la residencia 23 stats (rx_timestamp=0, rssi=0, snr=0.0, sfrx=0, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=23, tx_frequency=868000000)
29/7/2020 11:34:5 msg Hay buena cobertura con la residencia 24 stats (rx_timestamp=0, rssi=0, snr=0.0, sfrx=0, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=24, tx_frequency=868000000)
29/7/2020 11:34:7 msg Hay buena cobertura con la residencia 25 stats (rx_timestamp=0, rssi=0, snr=0.0, sfrx=0, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=25, tx_frequency=868000000)
29/7/2020 11:34:9 msg Hay buena cobertura con la residencia 26 stats (rx_timestamp=0, rssi=0, snr=0.0, sfrx=0, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=26, tx_frequency=868000000)
29/7/2020 11:34:12 msg Hay buena cobertura con la residencia 27 stats (rx_timestamp=0, rssi=0, snr=0.0, sfrx=0, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=27, tx_frequency=868000000)
29/7/2020 11:34:14 msg Hay buena cobertura con la residencia 28 stats (rx_timestamp=0, rssi=0, snr=0.0, sfrx=0, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=28, tx_frequency=868000000)
29/7/2020 11:34:17 msg Hay buena cobertura con la residencia 29 stats (rx_timestamp=0, rssi=0, snr=0.0, sfrx=0, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=29, tx_frequency=868000000)
29/7/2020 11:34:19 msg Hay buena cobertura con la residencia 30 stats (rx_timestamp=0, rssi=0, snr=0.0, sfrx=0, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=30, tx_frequency=868000000)
29/7/2020 11:34:21 msg Hay buena cobertura con la residencia 31 stats (rx_timestamp=0, rssi=0, snr=0.0, sfrx=0, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=31, tx_frequency=868000000)
29/7/2020 11:34:24 msg Hay buena cobertura con la residencia 32 stats (rx_timestamp=0, rssi=0, snr=0.0, sfrx=0, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=32, tx_frequency=868000000)
29/7/2020 11:34:26 msg Hay buena cobertura con la residencia 33 stats (rx_timestamp=0, rssi=0, snr=0.0, sfrx=0, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=33, tx_frequency=868000000)
29/7/2020 11:34:29 msg Hay buena cobertura con la residencia 34 stats (rx_timestamp=0, rssi=0, snr=0.0, sfrx=0, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=34, tx_frequency=868000000)
29/7/2020 11:34:31 msg Hay buena cobertura con la residencia 35 stats (rx_timestamp=0, rssi=0, snr=0.0, sfrx=0, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=35, tx_frequency=868000000)
29/7/2020 11:34:34 msg Hay buena cobertura con la residencia 36 stats (rx_timestamp=0, rssi=0, snr=0.0, sfrx=0, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=36, tx_frequency=868000000)
------------------------
29/7/2020 11:34:7 msg Hay buena cobertura con la residencia 0 stats (rx_timestamp=0, rssi=0, snr=0.0, sfrx=0, sftx=0, tx_trials=0, tx_power=14, tx_time_on_air=0, tx_counter=0, tx_frequency=0)
29/7/2020 11:34:9 msg Config 2 30aea474cbcc 3c71bf875fa8 30aea458f2e4 stats (rx_timestamp=0, rssi=0, snr=0.0, sfrx=0, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=113, tx_counter=1, tx_frequency=868000000)
29/7/2020 11:34:40 msg stop 2 30aea474cbcc 3c71bf875fa8 30aea458f2e4 2 stats (rx_timestamp=0, rssi=0, snr=0.0, sfrx=0, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=124, tx_counter=2, tx_frequency=868000000)
29/7/2020 11:34:40 msg stop 2 30aea474cbcc 3c71bf875fa8 30aea458f2e4 2 stats (rx_timestamp=0, rssi=0, snr=0.0, sfrx=0, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=124, tx_counter=3, tx_frequency=868000000)
29/7/2020 11:34:51 msg Discover normal 2 30aea458f2e4 stats (rx_timestamp=47150317, rssi=-113, snr=1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=124, tx_counter=4, tx_frequency=868000000)
29/7/2020 11:34:54 msg Discover normal 2 30aea458f2e4 stats (rx_timestamp=47150317, rssi=-113, snr=1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=98, tx_counter=5, tx_frequency=868000000)
29/7/2020 11:34:57 msg Discover normal 2 30aea458f2e4 stats (rx_timestamp=58598301, rssi=-114, snr=-0.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=98, tx_counter=6, tx_frequency=868000000)
29/7/2020 11:35:0 msg Discover normal 2 30aea458f2e4 stats (rx_timestamp=61111623, rssi=-118, snr=-2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=98, tx_counter=7, tx_frequency=868000000)
29/7/2020 11:35:3 msg Discover normal 3 30aea458f2e4 stats (rx_timestamp=61111623, rssi=-118, snr=-2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=98, tx_counter=8, tx_frequency=868000000)
29/7/2020 11:35:6 msg Discover normal 3 30aea458f2e4 stats (rx_timestamp=66062615, rssi=-118, snr=-2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=98, tx_counter=9, tx_frequency=868000000)
29/7/2020 11:35:9 msg Discover normal 3 30aea458f2e4 stats (rx_timestamp=69132618, rssi=-117, snr=-1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=98, tx_counter=10, tx_frequency=868000000)
29/7/2020 11:35:12 msg Discover normal 3 30aea458f2e4 stats (rx_timestamp=73206616, rssi=-118, snr=-2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=98, tx_counter=11, tx_frequency=868000000)
29/7/2020 11:35:15 msg Discover normal 4 30aea458f2e4 stats (rx_timestamp=75281611, rssi=-116, snr=-1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=4, tx_time_on_air=98, tx_counter=12, tx_frequency=868000000)
29/7/2020 11:35:19 msg Discover normal 4 30aea458f2e4 stats (rx_timestamp=78702571, rssi=-118, snr=-2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=4, tx_time_on_air=98, tx_counter=13, tx_frequency=868000000)
29/7/2020 11:35:22 msg Discover normal 4 30aea458f2e4 stats (rx_timestamp=81785563, rssi=-117, snr=-1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=4, tx_time_on_air=98, tx_counter=14, tx_frequency=868000000)
29/7/2020 11:35:25 msg Discover normal 4 30aea458f2e4 stats (rx_timestamp=84689564, rssi=-118, snr=-2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=4, tx_time_on_air=98, tx_counter=15, tx_frequency=868000000)
29/7/2020 11:35:28 msg Discover normal 5 30aea458f2e4 stats (rx_timestamp=84689564, rssi=-118, snr=-2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=5, tx_time_on_air=98, tx_counter=16, tx_frequency=868000000)
