------------------------
27/7/2020 11:1:33 msg Hay buena cobertura de sensor 2 parc bit8 stats (rx_timestamp=98324056, rssi=-97, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=113, tx_counter=8, tx_frequency=868000000)
27/7/2020 11:1:45 msg Hay buena cobertura de sensor 2 parc bit9 stats (rx_timestamp=111474979, rssi=-113, snr=-1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=113, tx_counter=9, tx_frequency=868000000)
27/7/2020 11:1:56 msg Hay buena cobertura de sensor 2 parc bit10 stats (rx_timestamp=120437906, rssi=-96, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=113, tx_counter=10, tx_frequency=868000000)
27/7/2020 11:2:7 msg Hay buena cobertura de sensor 2 parc bit11 stats (rx_timestamp=131841802, rssi=-98, snr=7.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=119, tx_counter=11, tx_frequency=868000000)
27/7/2020 11:2:19 msg Hay buena cobertura de sensor 2 parc bit12 stats (rx_timestamp=143289740, rssi=-98, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=119, tx_counter=12, tx_frequency=868000000)
27/7/2020 11:2:30 msg Hay buena cobertura de sensor 2 parc bit13 stats (rx_timestamp=156868635, rssi=-94, snr=7.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=113, tx_counter=13, tx_frequency=868000000)
27/7/2020 11:2:42 msg Hay buena cobertura de sensor 2 parc bit14 stats (rx_timestamp=166414563, rssi=-97, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=113, tx_counter=14, tx_frequency=868000000)
27/7/2020 11:2:53 msg Hay buena cobertura de sensor 2 parc bit15 stats (rx_timestamp=174979862, rssi=-105, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=119, tx_counter=15, tx_frequency=868000000)
27/7/2020 11:3:3 msg Hay buena cobertura de sensor 2 parc bit16 stats (rx_timestamp=185776846, rssi=-104, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=113, tx_counter=16, tx_frequency=868000000)
27/7/2020 11:3:14 msg Hay buena cobertura de sensor 2 parc bit17 stats (rx_timestamp=197135818, rssi=-60, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=119, tx_counter=17, tx_frequency=868000000)
27/7/2020 11:3:26 msg Hay buena cobertura de sensor 2 parc bit18 stats (rx_timestamp=210182233, rssi=-113, snr=1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=119, tx_counter=18, tx_frequency=868000000)
27/7/2020 11:3:37 msg Hay buena cobertura de sensor 2 parc bit19 stats (rx_timestamp=221709133, rssi=-105, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=113, tx_counter=19, tx_frequency=868000000)
27/7/2020 11:3:48 msg Hay buena cobertura de sensor 2 parc bit20 stats (rx_timestamp=232530083, rssi=-105, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=113, tx_counter=20, tx_frequency=868000000)
