------------------------
29/7/2020 9:6:42 msg Hay buena cobertura de mateu orfila sensor 1 14 stats (rx_timestamp=169352012, rssi=-104, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=14, tx_frequency=868000000)
29/7/2020 9:6:53 msg Hay buena cobertura de mateu orfila sensor 1 15 stats (rx_timestamp=180786955, rssi=-105, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=15, tx_frequency=868000000)
29/7/2020 9:7:5 msg Hay buena cobertura de mateu orfila sensor 1 16 stats (rx_timestamp=192148061, rssi=-106, snr=4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=16, tx_frequency=868000000)
29/7/2020 9:7:16 msg Hay buena cobertura de mateu orfila sensor 1 17 stats (rx_timestamp=203700084, rssi=-105, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=17, tx_frequency=868000000)
29/7/2020 9:7:28 msg Hay buena cobertura de mateu orfila sensor 1 18 stats (rx_timestamp=215061110, rssi=-104, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=18, tx_frequency=868000000)
29/7/2020 9:7:39 msg Hay buena cobertura de mateu orfila sensor 1 19 stats (rx_timestamp=226339130, rssi=-104, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=19, tx_frequency=868000000)
29/7/2020 9:7:51 msg Hay buena cobertura de mateu orfila sensor 1 20 stats (rx_timestamp=237305155, rssi=-104, snr=4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=20, tx_frequency=868000000)
29/7/2020 9:8:2 msg Hay buena cobertura de mateu orfila sensor 1 21 stats (rx_timestamp=248710131, rssi=-104, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=21, tx_frequency=868000000)
29/7/2020 9:8:14 msg Hay buena cobertura de mateu orfila sensor 1 22 stats (rx_timestamp=260302159, rssi=-104, snr=4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=22, tx_frequency=868000000)
29/7/2020 9:8:25 msg Hay buena cobertura de mateu orfila sensor 1 23 stats (rx_timestamp=271710222, rssi=-103, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=23, tx_frequency=868000000)
29/7/2020 9:8:36 msg Hay buena cobertura de mateu orfila sensor 1 24 stats (rx_timestamp=282564164, rssi=-104, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=24, tx_frequency=868000000)
29/7/2020 9:8:47 msg Hay buena cobertura de mateu orfila sensor 1 25 stats (rx_timestamp=294345275, rssi=-104, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=25, tx_frequency=868000000)
29/7/2020 9:8:59 msg Hay buena cobertura de mateu orfila sensor 1 26 stats (rx_timestamp=305772263, rssi=-105, snr=4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=26, tx_frequency=868000000)
