ƒ¿Ã∞Å—·}çΩ’π—ï»Ùÿ‡ƒ∞Å—·}ô…ï≈’ïπç‰Ù‡ÿ‡¿¿¿¿¿¿§(»‡º‹º»¿»¿ÄƒƒËÃ–ËƒƒÅµÕúÅΩπô•úÄƒƒÄÃ¡ÖïÑ–‹—çâçåÄÕå‹≈âò‡‹‹‘ƒ¿ÅÕ—Ö—ÃÄ°…·}—•µïÕ—Öµ¿Ù»Ã‹‰‘–‘»»‹∞Å…ÕÕ§Ù¥ƒƒÃ∞ÅÕπ»Ù¥»∏¿∞ÅÕô…‡Ù‹∞ÅÕô—‡Ù‹∞Å—·}—…•Ö±ÃÙ¿∞Å—·}¡Ω›ï»Ùƒƒ∞Å—·}—•µï}Ωπ}Ö•»Ùƒ¿Ã∞Å—·}çΩ’π—ï»Ùÿ‡»∞Å—·}ô…ï≈’ïπç‰Ù‡ÿ‡¿¿¿¿¿¿§(»‡º‹º»¿»¿ÄƒƒËÃ–Ëƒ‘ÅµÕúÄConfig 11 30aea474cbcc 3c71bf877510 stats (rx_timestamp=2379545227, rssi=-113, snr=-2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=11, tx_time_on_air=108, tx_counter=683, tx_frequency=868000000)
28/7/2020 11:41:10 msg Hello 4 3c71bf877510 stats (rx_timestamp=4277996193, rssi=-101, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=83, tx_counter=784, tx_frequency=868000000)
28/7/2020 11:41:12 msg Hello 5 3c71bf877510 stats (rx_timestamp=4281380199, rssi=-101, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=83, tx_counter=785, tx_frequency=868000000)
28/7/2020 11:41:17 msg Hello 5 3c71bf877510 stats (rx_timestamp=4284740198, rssi=-101, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=83, tx_counter=786, tx_frequency=868000000)
28/7/2020 11:41:19 msg Hello 5 3c71bf877510 stats (rx_timestamp=4288195210, rssi=-100, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=83, tx_counter=787, tx_frequency=868000000)
28/7/2020 11:41:24 msg Hello 5 3c71bf877510 stats (rx_timestamp=4291543214, rssi=-101, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=83, tx_counter=788, tx_frequency=868000000)
28/7/2020 11:41:27 msg Hello 6 3c71bf877510 stats (rx_timestamp=4294895217, rssi=-100, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=83, tx_counter=789, tx_frequency=868000000)
28/7/2020 11:41:29 msg Hello 6 3c71bf877510 stats (rx_timestamp=3429929, rssi=-100, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=83, tx_counter=790, tx_frequency=868000000)
28/7/2020 11:41:34 msg Hello 6 3c71bf877510 stats (rx_timestamp=6768928, rssi=-100, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=83, tx_counter=791, tx_frequency=868000000)
28/7/2020 11:41:36 msg Hello 6 3c71bf877510 stats (rx_timestamp=10127938, rssi=-99, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=83, tx_counter=792, tx_frequency=868000000)
28/7/2020 11:41:40 msg Hello 7 3c71bf877510 stats (rx_timestamp=13475934, rssi=-98, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=83, tx_counter=793, tx_frequency=868000000)
28/7/2020 11:41:43 msg Hello 7 3c71bf877510 stats (rx_timestamp=16812940, rssi=-99, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=83, tx_counter=794, tx_frequency=868000000)
28/7/2020 11:41:46 msg Hello 7 3c71bf877510 stats (rx_timestamp=20158942, rssi=-99, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=83, tx_counter=795, tx_frequency=868000000)
28/7/2020 11:41:49 msg Hello 7 3c71bf877510 stats (rx_timestamp=23507942, rssi=-98, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=83, tx_counter=796, tx_frequency=868000000)
28/7/2020 11:41:54 msg Hello 8 3c71bf877510 stats (rx_timestamp=26865955, rssi=-98, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=83, tx_counter=797, tx_frequency=868000000)
28/7/2020 11:41:57 msg Hello 8 3c71bf877510 stats (rx_timestamp=30388950, rssi=-98, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=83, tx_counter=798, tx_frequency=868000000)
28/7/2020 11:42:0 msg Hello 8 3c71bf877510 stats (rx_timestamp=33964960, rssi=-98, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=83, tx_counter=799, tx_frequency=868000000)
28/7/2020 11:42:3 msg Hello 8 3c71bf877510 stats (rx_timestamp=37320966, rssi=-97, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=83, tx_counter=800, tx_frequency=868000000)
28/7/2020 11:42:7 msg Hello 9 3c71bf877510 stats (rx_timestamp=40676964, rssi=-96, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=83, tx_counter=801, tx_frequency=868000000)
28/7/2020 11:42:10 msg Hello 9 3c71bf877510 stats (rx_timestamp=44242966, rssi=-96, snr=7.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=83, tx_counter=802, tx_frequency=868000000)
28/7/2020 11:42:15 msg Hello 9 3c71bf877510 stats (rx_timestamp=47579973, rssi=-96, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=83, tx_counter=803, tx_frequency=868000000)
28/7/2020 11:42:18 msg Hello 9 3c71bf877510 stats (rx_timestamp=51092974, rssi=-97, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=83, tx_counter=804, tx_frequency=868000000)
28/7/2020 11:42:21 msg Hello 10 3c71bf877510 stats (rx_timestamp=54435998, rssi=-96, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=83, tx_counter=805, tx_frequency=868000000)
28/7/2020 11:42:25 msg Hello 10 3c71bf877510 stats (rx_timestamp=57992006, rssi=-97, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=83, tx_counter=806, tx_frequency=868000000)
28/7/2020 11:42:29 msg Hello 10 3c71bf877510 stats (rx_timestamp=62700846, rssi=-103, snr=4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=83, tx_counter=807, tx_frequency=868000000)
28/7/2020 11:42:32 msg Hello 10 3c71bf877510 stats (rx_timestamp=65123014, rssi=-96, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=83, tx_counter=808, tx_frequency=868000000)
28/7/2020 11:42:36 msg Hello 11 3c71bf877510 stats (rx_timestamp=68852014, rssi=-95, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=83, tx_counter=809, tx_frequency=868000000)
28/7/2020 11:42:40 msg Hello 11 3c71bf877510 stats (rx_timestamp=73594821, rssi=-103, snr=4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=83, tx_counter=810, tx_frequency=868000000)
28/7/2020 11:42:42 msg Hello 11 3c71bf877510 stats (rx_timestamp=75965019, rssi=-94, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=83, tx_counter=811, tx_frequency=868000000)
28/7/2020 11:42:45 msg Hello 11 3c71bf877510 stats (rx_timestamp=79510025, rssi=-95, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=83, tx_counter=812, tx_frequency=868000000)
28/7/2020 11:42:49 msg Hello 12 3c71bf877510 stats (rx_timestamp=83017029, rssi=-95, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=83, tx_counter=813, tx_frequency=868000000)
28/7/2020 11:42:53 msg Hello 12 3c71bf877510 stats (rx_timestamp=86564032, rssi=-95, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=83, tx_counter=814, tx_frequency=868000000)
28/7/2020 11:42:56 msg Hello 12 3c71bf877510 stats (rx_timestamp=89896037, rssi=-95, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=83, tx_counter=815, tx_frequency=868000000)
28/7/2020 11:43:1 msg Hello 12 3c71bf877510 stats (rx_timestamp=93614042, rssi=-95, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=83, tx_counter=816, tx_frequency=868000000)
28/7/2020 11:43:4 msg Hello 13 3c71bf877510 stats (rx_timestamp=97575774, rssi=-102, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=83, tx_counter=817, tx_frequency=868000000)
28/7/2020 11:43:7 msg Hello 13 3c71bf877510 stats (rx_timestamp=100911048, rssi=-93, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=83, tx_counter=818, tx_frequency=868000000)
28/7/2020 11:43:12 msg Hello 13 3c71bf877510 stats (rx_timestamp=105677762, rssi=-101, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=83, tx_counter=819, tx_frequency=868000000)
28/7/2020 11:43:14 msg Hello 13 3c71bf877510 stats (rx_timestamp=108030057, rssi=-94, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=83, tx_counter=820, tx_frequency=868000000)
28/7/2020 11:43:18 msg Discover end 8 2 stats (rx_timestamp=111569512, rssi=-98, snr=7.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=83, tx_counter=821, tx_frequency=868000000)
28/7/2020 11:43:23 msg Discover end 8 2 stats (rx_timestamp=111569512, rssi=-98, snr=7.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=78, tx_counter=822, tx_frequency=868000000)
28/7/2020 11:43:25 msg Token 30aea458f354 3c71bf877510 30aea458f354 stats (rx_timestamp=118922518, rssi=-101, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=78, tx_counter=823, tx_frequency=868000000)
28/7/2020 11:44:25 msg Token 30aea458f354 3c71bf877510 30aea458f354 stats (rx_timestamp=179111576, rssi=-103, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=119, tx_counter=824, tx_frequency=868000000)
28/7/2020 11:45:26 msg Token 30aea458f354 3c71bf877510 30aea458f354 stats (rx_timestamp=239543649, rssi=-102, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=119, tx_counter=825, tx_frequency=868000000)
28/7/2020 11:46:26 msg Token 30aea458f354 3c71bf877510 30aea458f354 stats (rx_timestamp=299976715, rssi=-101, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=119, tx_counter=826, tx_frequency=868000000)
28/7/2020 11:51:47 msg Info 3c71bf877510 30aea474cbcc 150 47 52 30 50 0 1 stats (rx_timestamp=620721992, rssi=-94, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=119, tx_counter=827, tx_frequency=868000000)
28/7/2020 12:4:20 msg Info 3c71bf877510 30aea474cbcc 150 50 47 30 47 0 1 stats (rx_timestamp=1373831702, rssi=-93, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=129, tx_counter=828, tx_frequency=868000000)
28/7/2020 12:19:1 msg Info 3c71bf877510 30aea474cbcc 150 50 49 30 48 0 1 stats (rx_timestamp=2255244653, rssi=-93, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=129, tx_counter=829, tx_frequency=868000000)
28/7/2020 12:19:17 msg Info 3c71bf877510 30aea474cbcc 150 50 49 30 48 0 1 stats (rx_timestamp=2256570810, rssi=-93, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=129, tx_counter=830, tx_frequency=868000000)
28/7/2020 12:19:32 msg Info 3c71bf877510 30aea474cbcc 150 50 49 30 48 0 1 stats (rx_timestamp=2272367835, rssi=-93, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=129, tx_counter=831, tx_frequency=868000000)
28/7/2020 12:28:59 msg Info 3c71bf877510 30aea474cbcc 150 50 48 30 50 0 1 stats (rx_timestamp=2852816457, rssi=-101, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=129, tx_counter=832, tx_frequency=868000000)
28/7/2020 12:38:26 msg Info 3c71bf877510 30aea474cbcc 150 48 51 30 49 0 1 stats (rx_timestamp=3420267010, rssi=-101, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=129, tx_counter=833, tx_frequency=868000000)
28/7/2020 12:47:52 msg Info 3c71bf877510 30aea474cbcc 150 52 50 30 48 0 1 stats (rx_timestamp=3986366176, rssi=-102, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=129, tx_counter=834, tx_frequency=868000000)
28/7/2020 12:57:18 msg Info 3c71bf877510 30aea474cbcc 150 52 51 30 52 0 1 stats (rx_timestamp=256671375, rssi=-100, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=129, tx_counter=835, tx_frequency=868000000)
28/7/2020 13:6:44 msg Info 3c71bf877510 30aea474cbcc 150 49 50 30 52 0 1 stats (rx_timestamp=823328181, rssi=-100, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=836, tx_frequency=868000000)
28/7/2020 13:16:11 msg Info 3c71bf877510 30aea474cbcc 150 47 50 30 48 0 1 stats (rx_timestamp=1390379945, rssi=-100, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=129, tx_counter=837, tx_frequency=868000000)
28/7/2020 13:25:38 msg Info 3c71bf877510 30aea474cbcc 150 50 50 30 52 0 1 stats (rx_timestamp=1957351906, rssi=-101, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=129, tx_counter=838, tx_frequency=868000000)
28/7/2020 13:35:5 msg Info 3c71bf877510 30aea474cbcc 150 51 50 30 49 0 1 stats (rx_timestamp=2523818212, rssi=-102, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=129, tx_counter=839, tx_frequency=868000000)
28/7/2020 13:44:32 msg Info 3c71bf877510 30aea474cbcc 150 50 47 30 50 0 1 stats (rx_timestamp=3091090939, rssi=-102, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=129, tx_counter=840, tx_frequency=868000000)
28/7/2020 13:53:59 msg Info 3c71bf877510 30aea474cbcc 150 52 49 30 48 0 1 stats (rx_timestamp=3657788695, rssi=-102, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=129, tx_counter=841, tx_frequency=868000000)
28/7/2020 14:3:24 msg Info 3c71bf877510 30aea474cbcc 150 51 48 30 48 0 1 stats (rx_timestamp=4223343296, rssi=-101, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=129, tx_counter=842, tx_frequency=868000000)
28/7/2020 14:12:51 msg Info 3c71bf877510 30aea474cbcc 150 50 52 30 50 0 1 stats (rx_timestamp=495313660, rssi=-100, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=129, tx_counter=843, tx_frequency=868000000)
28/7/2020 14:22:19 msg Info 3c71bf877510 30aea474cbcc 150 47 47 30 47 0 1 stats (rx_timestamp=1063093195, rssi=-101, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=129, tx_counter=844, tx_frequency=868000000)
28/7/2020 14:31:47 msg Info 3c71bf877510 30aea474cbcc 150 50 50 30 50 0 1 stats (rx_timestamp=1630656728, rssi=-102, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=129, tx_counter=845, tx_frequency=868000000)
28/7/2020 14:41:15 msg Info 3c71bf877510 30aea474cbcc 150 48 51 30 49 0 1 stats (rx_timestamp=2198942179, rssi=-101, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=129, tx_counter=846, tx_frequency=868000000)
28/7/2020 14:51:43 msg Info 3c71bf877510 30aea474cbcc 150 48 47 30 50 0 1 stats (rx_timestamp=2826632268, rssi=-102, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=129, tx_counter=847, tx_frequency=868000000)
28/7/2020 15:1:13 msg Info 3c71bf877510 30aea474cbcc 150 47 52 30 50 0 1 stats (rx_timestamp=3396584018, rssi=-101, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=129, tx_counter=848, tx_frequency=868000000)
28/7/2020 15:10:40 msg Info 3c71bf877510 30aea474cbcc 150 48 48 30 48 0 1 stats (rx_timestamp=3964166053, rssi=-102, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=129, tx_counter=849, tx_frequency=868000000)
28/7/2020 15:20:10 msg Info 3c71bf877510 30aea474cbcc 150 52 47 30 50 0 1 stats (rx_timestamp=238520181, rssi=-101, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=129, tx_counter=850, tx_frequency=868000000)
28/7/2020 15:29:38 msg Info 3c71bf877510 30aea474cbcc 150 48 47 30 50 0 1 stats (rx_timestamp=807282524, rssi=-101, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=129, tx_counter=851, tx_frequency=868000000)
28/7/2020 15:39:7 msg Info 3c71bf877510 30aea474cbcc 150 51 51 30 49 0 1 stats (rx_timestamp=1376294524, rssi=-101, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=129, tx_counter=852, tx_frequency=868000000)
28/7/2020 15:48:36 msg Info 3c71bf877510 30aea474cbcc 150 51 51 30 49 0 1 stats (rx_timestamp=1944983444, rssi=-101, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=853, tx_frequency=868000000)
28/7/2020 15:58:5 msg Info 3c71bf877510 30aea474cbcc 150 52 51 30 52 0 1 stats (rx_timestamp=2513756800, rssi=-101, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=854, tx_frequency=868000000)
28/7/2020 16:7:34 msg Info 3c71bf877510 30aea474cbcc 150 51 51 30 52 0 1 stats (rx_timestamp=3082917085, rssi=-102, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=855, tx_frequency=868000000)
28/7/2020 10:30:2 msg Hay buena cobertura de mateu orfila sensor 1 0 stats (rx_timestamp=10795561, rssi=-102, snr=4.0, sfrx=7, sftx=0, tx_trials=0, tx_power=2, tx_time_on_air=0, tx_counter=0, tx_frequency=0)
28/7/2020 10:30:13 msg Hay buena cobertura de mateu orfila sensor 1 1 stats (rx_timestamp=20368801, rssi=-95, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=1, tx_frequency=868000000)
28/7/2020 10:30:23 msg Hay buena cobertura de mateu orfila sensor 1 2 stats (rx_timestamp=31356527, rssi=-101, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=2, tx_frequency=868000000)
8
