ƒ¿Ã∞Å—·}çΩ’π—ï»Ùÿ‡ƒ∞Å—·}ô…ï≈’ïπç‰Ù‡ÿ‡¿¿¿¿¿¿§(»‡º‹º»¿»¿ÄƒƒËÃ–ËƒƒÅµÕúÅΩπô•úÄƒƒÄÃ¡ÖïÑ–‹—çâçåÄÕå‹≈âò‡‹‹‘ƒ¿ÅÕ—Ö—ÃÄ°…·}—•µïÕ—Öµ¿Ù»Ã‹‰‘–‘»»‹∞Å…ÕÕ§Ù¥ƒƒÃ∞ÅÕπ»Ù¥»∏¿∞ÅÕô…‡Ù‹∞ÅÕô—‡Ù‹∞Å—·}—…•Ö±ÃÙ¿∞Å—·}¡Ω›ï»Ùƒƒ∞Å—·}—•µï}Ωπ}Ö•»Ùƒ¿Ã∞Å—·}çΩ’π—ï»Ùÿ‡»∞Å—·}ô…ï≈’ïπç‰Ù‡ÿ‡¿¿¿¿¿¿§(»‡º‹º»¿»¿ÄƒƒËÃ–Ëƒ‘ÅµÕúÄConfig 11 30aea474cbcc 3c71bf877510 stats (rx_timestamp=2379545227, rssi=-113, snr=-2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=11, tx_time_on_air=108, tx_counter=683, tx_frequency=868000000)
28/7/2020 11:35:30 msg Config 9 30aea474cbcc 3c71bf877510 stats (rx_timestamp=2379545227, rssi=-113, snr=-2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=9, tx_time_on_air=103, tx_counter=704, tx_frequency=868000000)
28/7/2020 11:35:34 msg Config 9 30aea474cbcc 3c71bf877510 stats (rx_timestamp=2379545227, rssi=-113, snr=-2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=9, tx_time_on_air=103, tx_counter=705, tx_frequency=868000000)
28/7/2020 11:35:39 msg Config 10 30aea474cbcc 3c71bf877510 stats (rx_timestamp=2379545227, rssi=-113, snr=-2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=10, tx_time_on_air=103, tx_counter=706, tx_frequency=868000000)
28/7/2020 11:35:42 msg Config 10 30aea474cbcc 3c71bf877510 stats (rx_timestamp=3949585881, rssi=-106, snr=1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=10, tx_time_on_air=103, tx_counter=707, tx_frequency=868000000)
28/7/2020 11:35:45 msg Config 11 30aea474cbcc 3c71bf877510 stats (rx_timestamp=3949585881, rssi=-106, snr=1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=11, tx_time_on_air=103, tx_counter=708, tx_frequency=868000000)
28/7/2020 11:35:47 msg Config 11 30aea474cbcc 3c71bf877510 stats (rx_timestamp=3949585881, rssi=-106, snr=1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=11, tx_time_on_air=108, tx_counter=709, tx_frequency=868000000)
28/7/2020 11:35:51 msg Config 12 30aea474cbcc 3c71bf877510 stats (rx_timestamp=3949585881, rssi=-106, snr=1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=12, tx_time_on_air=108, tx_counter=710, tx_frequency=868000000)
28/7/2020 11:35:56 msg Config 12 30aea474cbcc 3c71bf877510 stats (rx_timestamp=3949585881, rssi=-106, snr=1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=12, tx_time_on_air=103, tx_counter=711, tx_frequency=868000000)
28/7/2020 11:35:59 msg Config 13 30aea474cbcc 3c71bf877510 stats (rx_timestamp=3949585881, rssi=-106, snr=1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=13, tx_time_on_air=103, tx_counter=712, tx_frequency=868000000)
28/7/2020 11:36:3 msg Config 13 30aea474cbcc 3c71bf877510 stats (rx_timestamp=3949585881, rssi=-106, snr=1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=13, tx_time_on_air=108, tx_counter=713, tx_frequency=868000000)
28/7/2020 11:36:7 msg Config 14 30aea474cbcc 3c71bf877510 stats (rx_timestamp=3973517840, rssi=-100, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=108, tx_counter=714, tx_frequency=868000000)
28/7/2020 11:36:10 msg Config 14 30aea474cbcc 3c71bf877510 stats (rx_timestamp=3978928867, rssi=-100, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=108, tx_counter=715, tx_frequency=868000000)
28/7/2020 11:36:45 msg stop 13 30aea474cbcc 3c71bf877510 30aea458f354 1 stats (rx_timestamp=4013810103, rssi=-101, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=108, tx_counter=716, tx_frequency=868000000)
28/7/2020 11:36:51 msg stop 13 30aea474cbcc 3c71bf877510 30aea458f354 1 stats (rx_timestamp=4019820084, rssi=-101, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=717, tx_frequency=868000000)
28/7/2020 11:37:1 msg Hello 2 3c71bf877510 stats (rx_timestamp=4029933390, rssi=-110, snr=-0.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=718, tx_frequency=868000000)
28/7/2020 11:37:6 msg Hello 2 3c71bf877510 stats (rx_timestamp=4033694373, rssi=-111, snr=0.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=83, tx_counter=719, tx_frequency=868000000)
28/7/2020 11:37:9 msg Hello 2 3c71bf877510 stats (rx_timestamp=4037287363, rssi=-111, snr=1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=83, tx_counter=720, tx_frequency=868000000)
28/7/2020 11:37:13 msg Hello 2 3c71bf877510 stats (rx_timestamp=4041013354, rssi=-111, snr=0.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=83, tx_counter=721, tx_frequency=868000000)
28/7/2020 11:37:16 msg Hello 3 3c71bf877510 stats (rx_timestamp=4044290349, rssi=-110, snr=-0.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=83, tx_counter=722, tx_frequency=868000000)
28/7/2020 11:37:20 msg Hello 3 3c71bf877510 stats (rx_timestamp=4047883336, rssi=-110, snr=0.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=83, tx_counter=723, tx_frequency=868000000)
28/7/2020 11:37:23 msg Hello 3 3c71bf877510 stats (rx_timestamp=4051553325, rssi=-110, snr=1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=83, tx_counter=724, tx_frequency=868000000)
28/7/2020 11:37:27 msg Hello 3 3c71bf877510 stats (rx_timestamp=4055236312, rssi=-110, snr=1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=83, tx_counter=725, tx_frequency=868000000)
28/7/2020 11:37:30 msg Hello 4 3c71bf877510 stats (rx_timestamp=4059364256, rssi=-110, snr=1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=83, tx_counter=726, tx_frequency=868000000)
28/7/2020 11:37:35 msg Hello 4 3c71bf877510 stats (rx_timestamp=4062542250, rssi=-109, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=83, tx_counter=727, tx_frequency=868000000)
28/7/2020 11:37:38 msg Hello 4 3c71bf877510 stats (rx_timestamp=4065718236, rssi=-110, snr=1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=83, tx_counter=728, tx_frequency=868000000)
28/7/2020 11:37:42 msg Hello 4 3c71bf877510 stats (rx_timestamp=4069529234, rssi=-109, snr=0.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=83, tx_counter=729, tx_frequency=868000000)
28/7/2020 11:37:44 msg Hello 5 3c71bf877510 stats (rx_timestamp=4073182217, rssi=-109, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=83, tx_counter=730, tx_frequency=868000000)
28/7/2020 11:37:48 msg Hello 5 3c71bf877510 stats (rx_timestamp=4076843208, rssi=-109, snr=0.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=83, tx_counter=731, tx_frequency=868000000)
28/7/2020 11:37:53 msg Hello 5 3c71bf877510 stats (rx_timestamp=4080725190, rssi=-109, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=83, tx_counter=732, tx_frequency=868000000)
28/7/2020 11:37:55 msg Hello 5 3c71bf877510 stats (rx_timestamp=4084425185, rssi=-109, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=83, tx_counter=733, tx_frequency=868000000)
28/7/2020 11:38:0 msg Hello 6 3c71bf877510 stats (rx_timestamp=4088438577, rssi=-99, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=83, tx_counter=734, tx_frequency=868000000)
28/7/2020 11:38:3 msg Hello 6 3c71bf877510 stats (rx_timestamp=4091579204, rssi=-109, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=83, tx_counter=735, tx_frequency=868000000)
28/7/2020 11:38:7 msg Hello 6 3c71bf877510 stats (rx_timestamp=4095242191, rssi=-109, snr=1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=83, tx_counter=736, tx_frequency=868000000)
28/7/2020 11:38:11 msg Hello 6 3c71bf877510 stats (rx_timestamp=4098925179, rssi=-106, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=83, tx_counter=737, tx_frequency=868000000)
28/7/2020 11:38:15 msg Hello 7 3c71bf877510 stats (rx_timestamp=4102555131, rssi=-106, snr=3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=83, tx_counter=738, tx_frequency=868000000)
28/7/2020 11:38:18 msg Hello 7 3c71bf877510 stats (rx_timestamp=4106297121, rssi=-106, snr=3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=83, tx_counter=739, tx_frequency=868000000)
28/7/2020 11:38:21 msg Hello 7 3c71bf877510 stats (rx_timestamp=4109913113, rssi=-108, snr=3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=83, tx_counter=740, tx_frequency=868000000)
28/7/2020 11:38:26 msg Hello 7 3c71bf877510 stats (rx_timestamp=4114359612, rssi=-98, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=83, tx_counter=741, tx_frequency=868000000)
28/7/2020 11:38:30 msg Hello 8 3c71bf877510 stats (rx_timestamp=4118171581, rssi=-98, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=83, tx_counter=742, tx_frequency=868000000)
28/7/2020 11:38:34 msg Hello 8 3c71bf877510 stats (rx_timestamp=4121825075, rssi=-106, snr=4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=83, tx_counter=743, tx_frequency=868000000)
28/7/2020 11:38:37 msg Hello 8 3c71bf877510 stats (rx_timestamp=4125795068, rssi=-105, snr=3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=83, tx_counter=744, tx_frequency=868000000)
28/7/2020 11:38:41 msg Hello 8 3c71bf877510 stats (rx_timestamp=4129367055, rssi=-105, snr=3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=83, tx_counter=745, tx_frequency=868000000)
28/7/2020 11:38:45 msg Hello 9 3c71bf877510 stats (rx_timestamp=4133388593, rssi=-97, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=83, tx_counter=746, tx_frequency=868000000)
28/7/2020 11:38:48 msg Hello 9 3c71bf877510 stats (rx_timestamp=4137117994, rssi=-104, snr=3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=83, tx_counter=747, tx_frequency=868000000)
28/7/2020 11:38:53 msg Hello 9 3c71bf877510 stats (rx_timestamp=4141204978, rssi=-105, snr=3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=83, tx_counter=748, tx_frequency=868000000)
