in s,C2 in V
1.725193E+01,-9.56726E-03
1.725199E+01,-8.80432E-03
1.725204E+01,-9.56726E-03
1.725209E+01,-8.34656E-03
1.725215E+01,-8.34656E-03
1.725220E+01,-8.49915E-03
1.725226E+01,-8.65173E-03
1.725231E+01,-9.41467E-03
1.725236E+01,-1.03302E-02
1.725242E+01,-9.56726E-03
1.725247E+01,-9.26208E-03
1.725253E+01,-9.56726E-03
1.725258E+01,-7.88879E-03
1.725263E+01,-8.34656E-03
1.725269E+01,-7.73621E-03
1.725274E+01,-8.19397E-03
1.725280E+01,-8.19397E-03
1.725285E+01,-8.49915E-03
1.725290E+01,-7.58362E-03
1.725296E+01,-8.34656E-03
1.725301E+01,-8.04138E-03
1.725307E+01,-8.34656E-03
1.725312E+01,-8.95691E-03
1.725317E+01,-8.49915E-03
1.725323E+01,-9.26208E-03
1.725328E+01,-1.03302E-02
1.725334E+01,-8.80432E-03
1.725339E+01,-8.49915E-03
1.725344E+01,-8.65173E-03
1.725350E+01,-8.19397E-03
1.725355E+01,-9.56726E-03
1.725361E+01,-8.80432E-03
1.725366E+01,-7.73621E-03
1.725371E+01,-8.49915E-03
1.725377E+01,-8.49915E-03
1.725382E+01,-8.80432E-03
1.725388E+01,-8.65173E-03
1.725393E+01,-8.65173E-03
1.725398E+01,-7.88879E-03
1.725404E+01,-5.90515E-03
1.725409E+01,-6.97327E-03
1.725415E+01,-8.04138E-03
1.725420E+01,-8.49915E-03
1.725425E+01,-7.88879E-03
1.725431E+01,-9.71985E-03
1.725436E+01,-8.65173E-03
1.725442E+01,-8.80432E-03
1.725447E+01,-8.34656E-03
1.725452E+01,-8.34656E-03
1.725458E+01,-8.49915E-03
1.725463E+01,-1.04828E-02
1.725469E+01,-8.65173E-03
1.725474E+01,-8.49915E-03
1.725479E+01,-8.65173E-03
1.725485E+01,-9.26208E-03
1.725490E+01,-8.49915E-03
1.725496E+01,-8.65173E-03
1.725501E+01,-8.80432E-03
1.725506E+01,-8.95691E-03
1.725512E+01,-9.10950E-03
1.725517E+01,-9.41467E-03
1.725523E+01,-8.95691E-03
1.725528E+01,-1.03302E-02
1.725533E+01,-1.04828E-02
1.725539E+01,-9.87244E-03
1.725544E+01,-9.10950E-03
1.725550E+01,-8.65173E-03
1.725555E+01,-9.56726E-03
1.725560E+01,-8.80432E-03
1.725566E+01,-9.56726E-03
1.725571E+01,-1.00250E-02
1.725577E+01,-9.41467E-03
1.725582E+01,-8.65173E-03
1.725587E+01,-9.10950E-03
1.725593E+01,-9.41467E-03
1.725598E+01,-9.26208E-03
1.725604E+01,-8.65173E-03
1.725609E+01,-8.49915E-03
1.725614E+01,-8.19397E-03
1.725620E+01,-7.88879E-03
1.725625E+01,-7.58362E-03
1.725631E+01,-7.88879E-03
1.725636E+01,-7.73621E-03
1.725641E+01,-7.27844E-03
1.725647E+01,-7.12585E-03
1.725652E+01,-7.73621E-03
1.725658E+01,-8.34656E-03
1.725663E+01,-8.95691E-03
1.725668E+01,-8.65173E-03
1.725674E+01,-7.43103E-03
1.725679E+01,-8.04138E-03
1.725685E+01,-8.04138E-03
1.725690E+01,-8.49915E-03
1.725695E+01,-8.80432E-03
1.725701E+01,-8.80432E-03
1.725706E+01,-7.88879E-03
1.725712E+01,-8.04138E-03
1.725717E+01,-7.58362E-03
1.725722E+01,-7.27844E-03
1.725728E+01,-7.73621E-03
1.725733E+01,-7.27844E-03
1.725739E+01,-6.36292E-03
1.725744E+01,-5.75256E-03
1.725749E+01,-6.05774E-03
1.725755E+01,-7.88879E-03
1.725760E+01,-7.43103E-03
1.725766E+01,-8.04138E-03
1.725771E+01,-9.10950E-03
1.725776E+01,-8.95691E-03
1.725782E+01,-9.10950E-03
1.725787E+01,-8.80432E-03
1.725793E+01,-9.87244E-03
1.725798E+01,-8.80432E-03
1.725803E+01,-8.34656E-03
1.725809E+01,-8.19397E-03
1.725814E+01,-8.65173E-03
1.725820E+01,-8.34656E-03
1.725825E+01,-7.88879E-03
1.725830E+01,-8.04138E-03
1.725836E+01,-8.19397E-03
1.725841E+01,-8.34656E-03
1.725847E+01,-8.34656E-03
1.725852E+01,-7.88879E-03
1.725857E+01,-8.34656E-03
1.725863E+01,-8.49915E-03
1.725868E+01,-7.27844E-03
1.725874E+01,-8.04138E-03
1.725879E+01,-8.04138E-03
1.725884E+01,-8.34656E-03
1.725890E+01,-8.19397E-03
1.725895E+01,-8.49915E-03
1.725901E+01,-8.95691E-03
1.725906E+01,-8.34656E-03
1.725911E+01,-9.10950E-03
1.725917E+01,-8.34656E-03
1.725922E+01,-8.19397E-03
1.725928E+01,-7.88879E-03
1.725933E+01,-9.26208E-03
1.725938E+01,-8.65173E-03
1.725944E+01,-8.95691E-03
1.725949E+01,-7.27844E-03
1.725955E+01,-8.04138E-03
1.725960E+01,-8.95691E-03
1.725965E+01,-8.65173E-03
1.725971E+01,-8.49915E-03
1.725976E+01,-7.43103E-03
1.725982E+01,-7.43103E-03
1.725987E+01,-7.43103E-03
1.725992E+01,-7.12585E-03
1.725998E+01,-8.49915E-03
1.726003E+01,-8.34656E-03
1.726009E+01,-8.80432E-03
1.726014E+01,-9.10950E-03
1.726019E+01,-7.88879E-03
1.726025E+01,-8.65173E-03
1.726030E+01,-8.49915E-03
1.726036E+01,-8.04138E-03
1.726041E+01,-8.04138E-03
1.726046E+01,-7.73621E-03
1.726052E+01,-7.73621E-03
1.726057E+01,-7.88879E-03
1.726063E+01,-7.12585E-03
1.726068E+01,-7.27844E-03
1.726073E+01,-8.19397E-03
1.726079E+01,-8.34656E-03
1.726084E+01,-9.41467E-03
1.726090E+01,-8.80432E-03
1.726095E+01,-8.65173E-03
1.726100E+01,-9.26208E-03
1.726106E+01,-9.41467E-03
1.726111E+01,-8.49915E-03
1.726117E+01,-7.12585E-03
1.726122E+01,-8.34656E-03
1.726127E+01,-8.80432E-03
1.726133E+01,-8.04138E-03
1.726138E+01,-7.12585E-03
1.726144E+01,-6.97327E-03
1.726149E+01,-7.12585E-03
1.726154E+01,-8.80432E-03
1.726160E+01,-7.73621E-03
1.726165E+01,-8.49915E-03
1.726171E+01,-9.10950E-03
1.726176E+01,-9.26208E-03
1.726181E+01,-8.34656E-03
1.726187E+01,-8.34656E-03
1.726192E+01,-7.88879E-03
1.726198E+01,-7.88879E-03
1.726203E+01,-7.27844E-03
1.726208E+01,-8.49915E-03
1.726214E+01,-9.10950E-03
1.726219E+01,-9.41467E-03
1.726225E+01,-8.04138E-03
1.726230E+01,-8.80432E-03
1.726235E+01,-9.41467E-03
1.726241E+01,-9.10950E-03
1.726246E+01,-9.41467E-03
1.726252E+01,-9.56726E-03
1.726257E+01,-9.41467E-03
1.726262E+01,-9.41467E-03
1.726268E+01,-7.27844E-03
1.726273E+01,-7.43103E-03
1.726279E+01,-8.80432E-03
1.726284E+01,-9.71985E-03
1.726289E+01,-1.03302E-02
1.726295E+01,-1.04828E-02
1.726300E+01,-9.71985E-03
1.726306E+01,-8.49915E-03
1.726311E+01,-8.95691E-03
1.726316E+01,-9.10950E-03
1.726322E+01,-9.10950E-03
1.726327E+01,-1.00250E-02
1.726333E+01,-8.80432E-03
1.726338E+01,-8.95691E-03
1.726343E+01,-8.80432E-03
1.726349E+01,-9.10950E-03
1.726354E+01,-1.09406E-02
1.726360E+01,-9.56726E-03
1.726365E+01,-9.56726E-03
1.726370E+01,-1.12457E-02
1.726376E+01,-1.06354E-02
1.726381E+01,-1.06354E-02
1.726387E+01,-1.09406E-02
1.726392E+01,-1.00250E-02
1.726397E+01,-9.71985E-03
1.726403E+01,-9.26208E-03
1.726408E+01,-9.10950E-03
1.726414E+01,-8.49915E-03
1.726419E+01,-8.65173E-03
1.726424E+01,-9.87244E-03
1.726430E+01,-9.71985E-03
1.726435E+01,-9.87244E-03
1.726441E+01,-9.71985E-03
1.726446E+01,-1.06354E-02
1.726451E+01,-1.00250E-02
1.726457E+01,-9.56726E-03
1.726462E+01,-9.26208E-03
1.726468E+01,-9.87244E-03
1.726473E+01,-9.87244E-03
1.726478E+01,-9.71985E-03
1.726484E+01,-9.87244E-03
1.726489E+01,-9.26208E-03
1.726495E+01,-9.41467E-03
1.726500E+01,-9.71985E-03
1.726505E+01,-9.26208E-03
1.726511E+01,-8.80432E-03
1.726516E+01,-8.95691E-03
1.726522E+01,-8.80432E-03
1.726527E+01,-9.56726E-03
1.726532E+01,-9.26208E-03
1.726538E+01,-8.49915E-03
1.726543E+01,-8.04138E-03
1.726549E+01,-8.65173E-03
1.726554E+01,-9.41467E-03
1.726559E+01,-8.80432E-03
1.726565E+01,-9.10950E-03
1.726570E+01,-8.49915E-03
1.726576E+01,-8.80432E-03
1.726581E+01,-8.34656E-03
1.726586E+01,-8.65173E-03
1.726592E+01,-9.87244E-03
1.726597E+01,-9.71985E-03
1.726603E+01,-8.19397E-03
1.726608E+01,-8.19397E-03
1.726613E+01,-8.34656E-03
1.726619E+01,-7.88879E-03
1.726624E+01,-7.88879E-03
1.726630E+01,-8.34656E-03
1.726635E+01,-8.49915E-03
1.726640E+01,-7.88879E-03
1.726646E+01,-8.49915E-03
1.726651E+01,-8.19397E-03
1.726657E+01,-9.41467E-03
1.726662E+01,-1.00250E-02
1.726667E+01,-9.10950E-03
1.726673E+01,-8.49915E-03
1.726678E+01,-9.41467E-03
1.726684E+01,-8.04138E-03
1.726689E+01,-8.49915E-03
1.726694E+01,-8.49915E-03
1.726700E+01,-7.58362E-03
1.726705E+01,-8.34656E-03
1.726711E+01,-8.19397E-03
1.726716E+01,-8.19397E-03
1.726721E+01,-7.27844E-03
1.726727E+01,-6.66809E-03
1.726732E+01,-8.19397E-03
1.726738E+01,-8.04138E-03
1.726743E+01,-7.43103E-03
1.726748E+01,-8.04138E-03
1.726754E+01,-8.04138E-03
1.726759E+01,-7.58362E-03
1.726765E+01,-7.88879E-03
1.726770E+01,-7.73621E-03
1.726775E+01,-7.27844E-03
1.726781E+01,-7.73621E-03
1.726786E+01,-8.19397E-03
1.726792E+01,-8.95691E-03
1.726797E+01,-9.10950E-03
1.726802E+01,-7.73621E-03
1.726808E+01,-7.88879E-03
1.726813E+01,-8.65173E-03
1.726819E+01,-8.65173E-03
1.726824E+01,-7.88879E-03
1.726829E+01,-8.80432E-03
1.726835E+01,-9.26208E-03
1.726840E+01,-8.80432E-03
1.726846E+01,-8.19397E-03
1.726851E+01,-7.88879E-03
1.726856E+01,-8.49915E-03
1.726862E+01,-8.65173E-03
1.726867E+01,-8.95691E-03
1.726873E+01,-1.03302E-02
1.726878E+01,-9.87244E-03
1.726883E+01,-9.56726E-03
1.726889E+01,-9.71985E-03
1.726894E+01,-9.26208E-03
1.726900E+01,-7.88879E-03
1.726905E+01,-7.73621E-03
1.726910E+01,-7.73621E-03
1.726916E+01,-8.19397E-03
