20/8/2020 11:28:36 msg Info 30aea458f354 30aea474cbcc 150 49 49 30 51 0 1 stats (rx_timestamp=4208013405, rssi=-121, snr=-6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=119, tx_counter=339, tx_frequency=868000000)
20/8/2020 11:28:40 msg Info 30aea458f354 30aea474cbcc 150 49 49 30 51 0 1 stats (rx_timestamp=4211759381, rssi=-121, snr=-6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=119, tx_counter=339, tx_frequency=868000000)
20/8/2020 11:28:44 msg Info 30aea458f354 30aea474cbcc 150 49 49 30 51 0 1 stats (rx_timestamp=4215549361, rssi=-122, snr=-8.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=119, tx_counter=339, tx_frequency=868000000)
20/8/2020 11:28:47 msg Info 30aea458f354 30aea474cbcc 150 49 49 30 51 0 1 stats (rx_timestamp=4219298341, rssi=-122, snr=-7.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=119, tx_counter=339, tx_frequency=868000000)
20/8/2020 11:28:55 msg Info 30aea458f354 30aea474cbcc 150 49 49 30 51 0 1 stats (rx_timestamp=4227025296, rssi=-123, snr=-8.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=119, tx_counter=339, tx_frequency=868000000)
20/8/2020 11:29:3 msg Info 30aea458f354 30aea474cbcc 150 49 49 30 51 0 1 stats (rx_timestamp=4234563238, rssi=-125, snr=-11.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=119, tx_counter=339, tx_frequency=868000000)
20/8/2020 11:29:23 msg Info 30aea458f354 30aea474cbcc 150 49 49 30 51 0 1 stats (rx_timestamp=4255021459, rssi=-119, snr=-5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=119, tx_counter=339, tx_frequency=868000000)
20/8/2020 11:30:7 msg Info 30aea458f354 30aea474cbcc 150 49 49 30 51 0 1 stats (rx_timestamp=4061534, rssi=-123, snr=-9.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=119, tx_counter=339, tx_frequency=868000000)
20/8/2020 11:30:14 msg Info 30aea458f354 30aea474cbcc 150 49 49 30 51 0 1 stats (rx_timestamp=11013014, rssi=-117, snr=-6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=119, tx_counter=339, tx_frequency=868000000)
20/8/2020 11:31:15 msg Info 30aea458f354 30aea474cbcc 150 49 49 30 51 0 1 stats (rx_timestamp=72158781, rssi=-121, snr=-8.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=119, tx_counter=339, tx_frequency=868000000)
20/8/2020 11:31:23 msg Info 30aea458f354 30aea474cbcc 150 49 49 30 51 0 1 stats (rx_timestamp=79807038, rssi=-122, snr=-7.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=119, tx_counter=339, tx_frequency=868000000)
20/8/2020 11:31:36 msg Info 30aea458f354 30aea474cbcc 150 49 49 30 51 0 1 stats (rx_timestamp=92531686, rssi=-120, snr=-6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=119, tx_counter=339, tx_frequency=868000000)
20/8/2020 11:31:42 msg Info 30aea458f354 30aea474cbcc 150 49 49 30 51 0 1 stats (rx_timestamp=98810916, rssi=-122, snr=-9.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=119, tx_counter=339, tx_frequency=868000000)
20/8/2020 11:31:46 msg Info 30aea458f354 30aea474cbcc 150 49 49 30 51 0 1 stats (rx_timestamp=102717643, rssi=-121, snr=-6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=119, tx_counter=339, tx_frequency=868000000)
20/8/2020 11:31:49 msg Info 30aea458f354 30aea474cbcc 150 49 49 30 51 0 1 stats (rx_timestamp=106347868, rssi=-121, snr=-7.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=119, tx_counter=339, tx_frequency=868000000)
20/8/2020 11:32:6 msg Info 30aea458f354 30aea474cbcc 150 49 49 30 51 0 1 stats (rx_timestamp=123100587, rssi=-120, snr=-6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=119, tx_counter=339, tx_frequency=868000000)
20/8/2020 11:32:42 msg Info 30aea458f354 30aea474cbcc 150 49 49 30 51 0 1 stats (rx_timestamp=159274525, rssi=-123, snr=-9.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=119, tx_counter=339, tx_frequency=868000000)
20/8/2020 11:33:1 msg Info 30aea458f354 30aea474cbcc 150 49 49 30 51 0 1 stats (rx_timestamp=178319401, rssi=-120, snr=-5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=119, tx_counter=339, tx_frequency=868000000)
20/8/2020 11:33:5 msg Info 30aea458f354 30aea474cbcc 150 49 49 30 51 0 1 stats (rx_timestamp=182066375, rssi=-121, snr=-6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=119, tx_counter=339, tx_frequency=868000000)
20/8/2020 11:33:7 msg Info 30aea458f354 30aea474cbcc 150 49 49 30 51 0 1 stats (rx_timestamp=184219252, rssi=-119, snr=-5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=119, tx_counter=339, tx_frequency=868000000)
20/8/2020 11:33:13 msg Info 30aea458f354 30aea474cbcc 150 49 49 30 51 0 1 stats (rx_timestamp=189601324, rssi=-122, snr=-7.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=119, tx_counter=339, tx_frequency=868000000)
20/8/2020 11:34:32 msg Info 30aea458f354 30aea474cbcc 150 49 49 30 51 0 1 stats (rx_timestamp=269286813, rssi=-122, snr=-7.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=119, tx_counter=339, tx_frequency=868000000)
20/8/2020 11:34:39 msg Info 30aea458f354 30aea474cbcc 150 49 49 30 51 0 1 stats (rx_timestamp=275904010, rssi=-122, snr=-7.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=119, tx_counter=339, tx_frequency=868000000)
20/8/2020 11:34:44 msg Info 30aea458f354 30aea474cbcc 150 49 49 30 51 0 1 stats (rx_timestamp=280568735, rssi=-123, snr=-8.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=119, tx_counter=339, tx_frequency=868000000)
20/8/2020 11:34:59 msg Info 30aea458f354 30aea474cbcc 150 49 49 30 51 0 1 stats (rx_timestamp=295634564, rssi=-125, snr=-10.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=119, tx_counter=339, tx_frequency=868000000)
20/8/2020 11:35:25 msg Info 30aea458f354 30aea474cbcc 150 49 49 30 51 0 1 stats (rx_timestamp=322231462, rssi=-122, snr=-7.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=119, tx_counter=339, tx_frequency=868000000)
